scenario,scenario_generation_version,rvo_safety_layer_version,tier,area_policy,robots,seed,method,noise_level,sigma_p,sigma_v,observation_noise_protocol,occlusion_probability,occlusion_max_duration,observation_noise_seed,workspace_width,workspace_height,workspace_area,agent_density,area_per_agent,dominant_flow_axis,lateral_axis,passage_width,agents_per_passage_width,start_bounds_margin,goal_bounds_margin,starts_out_of_bounds,goals_out_of_bounds,initial_collision,initial_safety_violation,initial_obstacle_collision,initial_min_distance,success,collision,safety_violation,obstacle_collision,min_distance,completion_time,steps,final_goal_distance,max_final_goal_distance,progress_ratio,path_length,control_effort,smoothness,latency_ms,screen_reject_rate,screen_all_reject_rate,screen_min_margin,screen_selected_margin,screen_predicted_margin,screen_runtime_margin,rvo_intervention_rate,seed_index
narrow_gate,density_v4_interaction_tiers,rvo_multistep_density_v1,main,fixed,8,18177,passive_rvo_mpc,low,0.02,0.04,neighbor_dropout_zero_v1,0.05,3,9107538407580167216,12.0,8.0,96.0,0.0833333333333333,12.0,x,y,2.2,3.636363636363636,0.8277382850646973,0.8030738830566406,0,0,0,0,0,0.7798157930374146,0,0,1,0,0.528862841129303,26.4,220,3.732420444488525,8.178995132446289,0.6406760811805725,10.18460954639886,1.0361209814860062,0.9396265723827212,1.631318408825874,0.5804545454545454,0.2386363636363636,-0.0651925280538432,0.1027459278216493,0.1245180282793951,0.4214268740451383,0.7914772727272728,0
narrow_gate,density_v4_interaction_tiers,rvo_multistep_density_v1,main,fixed,8,18177,rvo_reactive,low,0.02,0.04,neighbor_dropout_zero_v1,0.05,3,9107538407580167216,12.0,8.0,96.0,0.0833333333333333,12.0,x,y,2.2,3.636363636363636,0.8277382850646973,0.8030738830566406,0,0,0,0,0,0.7798157930374146,0,0,1,0,0.6036161780357361,26.4,220,2.6241626739501958,6.747284889221191,0.7473691999912262,11.66601466719112,0.9021521077237346,0.8555689600719647,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7738636363636363,0
narrow_gate,density_v4_interaction_tiers,rvo_multistep_density_v1,main,fixed,8,18177,residual_passive_rvo_mpc,low,0.02,0.04,neighbor_dropout_zero_v1,0.05,3,9107538407580167216,12.0,8.0,96.0,0.0833333333333333,12.0,x,y,2.2,3.636363636363636,0.8277382850646973,0.8030738830566406,0,0,0,0,0,0.7798157930374146,0,0,1,0,0.6437595558166505,26.4,220,3.923691272735596,7.781082630157471,0.6222622692584991,10.49457547811835,1.2013797764751044,1.0334560138258069,1.8382597728056929,0.62625,0.2363636363636363,-0.1207412133047867,0.0491293368295863,0.0595717045314162,0.2760153478220866,0.8426136363636364,0
narrow_gate,density_v4_interaction_tiers,rvo_multistep_density_v1,main,fixed,8,18177,icgp_rvo_mpc,high,0.1,0.2,neighbor_dropout_zero_v1,0.05,3,15850207770604339610,12.0,8.0,96.0,0.0833333333333333,12.0,x,y,2.2,3.636363636363636,0.8277382850646973,0.8030738830566406,0,0,0,0,0,0.7798157930374146,0,0,0,0,0.7430361580848694,26.4,220,2.8161799907684326,8.10224437713623,0.7288835048675537,11.77175288446415,1.370721935480833,1.2313864017074758,2.1892452838900764,0.5984090909090909,0.2789772727272727,-0.0993099497067942,0.0847216517686601,0.1000513643050085,0.3696393612489393,0.825,0
narrow_gate,density_v4_interaction_tiers,rvo_multistep_density_v1,main,fixed,8,18177,passive_rvo_mpc,high,0.1,0.2,neighbor_dropout_zero_v1,0.05,3,15850207770604339610,12.0,8.0,96.0,0.0833333333333333,12.0,x,y,2.2,3.636363636363636,0.8277382850646973,0.8030738830566406,0,0,0,0,0,0.7798157930374146,0,0,0,0,0.6988127827644348,26.4,220,2.837848901748657,7.284104824066162,0.7267974019050598,11.448440137520263,1.2390716596760534,1.0778747455978936,1.14898028380346,0.6026136363636364,0.3272727272727272,-0.0943265105019787,0.0579747459614533,0.0699274450016749,0.4449118862284298,0.7625,0
narrow_gate,density_v4_interaction_tiers,rvo_multistep_density_v1,main,fixed,8,18177,rvo_reactive,high,0.1,0.2,neighbor_dropout_zero_v1,0.05,3,15850207770604339610,12.0,8.0,96.0,0.0833333333333333,12.0,x,y,2.2,3.636363636363636,0.8277382850646973,0.8030738830566406,0,0,0,0,0,0.7798157930374146,0,0,1,0,0.6987264227867127,26.4,220,4.281956672668457,7.623621463775635,0.5877716839313507,9.937164379565274,1.0379850554195318,1.0026782698251984,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7767045454545455,0
narrow_gate,density_v4_interaction_tiers,rvo_multistep_density_v1,main,fixed,8,18177,residual_passive_rvo_mpc,high,0.1,0.2,neighbor_dropout_zero_v1,0.05,3,15850207770604339610,12.0,8.0,96.0,0.0833333333333333,12.0,x,y,2.2,3.636363636363636,0.8277382850646973,0.8030738830566406,0,0,0,0,0,0.7798157930374146,0,0,1,0,0.6966233849525452,26.4,220,3.148451805114746,8.409337043762207,0.6968953609466553,11.097656671196091,1.200247421979227,1.0287869599732486,1.6418594885180935,0.5872727272727273,0.2426136363636363,-0.0559208439526463,0.1075684228737012,0.1192620800966426,0.4702547667535597,0.7784090909090909,0
merge_bottleneck,density_v4_interaction_tiers,rvo_multistep_density_v1,main,fixed,4,14690,icgp_rvo_mpc,low,0.02,0.04,neighbor_dropout_zero_v1,0.05,3,5220730826191346051,12.0,8.0,96.0,0.0416666666666666,24.0,x,y,2.2,1.818181818181818,0.7845973968505859,0.9000000953674316,0,0,0,0,0,1.651197910308838,0,0,0,0,0.8158911538124085,26.4,220,3.108766555786133,6.476643562316895,0.700215220451355,11.121849773451686,0.7346570025409825,0.6977512384680185,1.650894319060502,0.4511363636363636,0.1034090909090909,0.0892041669798982,0.2573569227807835,0.2833897532713451,0.5229728034982914,0.7772727272727272,0
merge_bottleneck,density_v4_interaction_tiers,rvo_multistep_density_v1,main,fixed,4,14690,passive_rvo_mpc,low,0.02,0.04,neighbor_dropout_zero_v1,0.05,3,5220730826191346051,12.0,8.0,96.0,0.0416666666666666,24.0,x,y,2.2,1.818181818181818,0.7845973968505859,0.9000000953674316,0,0,0,0,0,1.651197910308838,0,0,0,0,0.8100483887137807,26.4,220,3.264894962310791,6.475441932678223,0.6851594150066376,10.708822919568776,0.785539166812404,0.7881436047398231,1.2056443179145306,0.4034090909090909,0.0681818181818181,0.0832338387021803,0.23148388454977,0.2697145605462491,0.4905813876145568,0.7465909090909091,0
merge_bottleneck,density_v4_interaction_tiers,rvo_multistep_density_v1,main,fixed,4,14690,rvo_reactive,low,0.02,0.04,neighbor_dropout_zero_v1,0.05,3,5220730826191346051,12.0,8.0,96.0,0.0416666666666666,24.0,x,y,2.2,1.818181818181818,0.7845973968505859,0.9000000953674316,0,0,0,0,0,1.651197910308838,0,0,0,0,0.7917461466789246,26.4,220,1.062593698501587,2.4299545288085938,0.8975318893790245,12.546513467954355,0.6466633130796253,0.6114049576053565,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6284090909090909,0
