"scenario","robots","seed","method","success","collision","safety_violation","obstacle_collision","min_distance","completion_time","steps","final_goal_distance","progress_ratio","path_length","control_effort","smoothness","latency_ms","screen_reject_rate","screen_all_reject_rate","screen_min_margin","screen_selected_margin","screen_predicted_margin","screen_runtime_margin","rvo_intervention_rate","recovery_trigger_rate","recovery_safe_choice_rate","recovery_all_unsafe_rate","recovery_selected_margin","recovery_selected_progress","seed_index"
"bottleneck","4","14475","constant_velocity_mpc","0","0","0","0","1.0900145406167372","16.8","140","8.182113647460938","0.2654440999031067","10.048700002487749","2.580946047816958","1.436812911740876","0.0","0.0135714285714285","0.0","0.5242300066181519","0.5834858952829118","0.5834858963472805","0.5834858965601543","0.0","0.0","0.0","0.0","0.0","0.0","24"
"bottleneck","4","14492","constant_velocity_mpc","0","0","0","0","1.1232982349395753","16.8","140","8.061505317687988","0.2790835499763489","9.41975299519254","2.560904598236084","1.515893423131534","0.0","0.0135714285714285","0.0","0.5321860716123279","0.5920820392664501","0.5920820405436924","0.5920820392664501","0.0","0.0","0.0","0.0","0.0","0.0","25"
"bottleneck","4","14509","constant_velocity_mpc","0","0","0","0","1.066378678904317","16.8","140","8.005168914794922","0.2839708924293518","10.23073848511558","2.524927337041923","1.4661318606717582","0.0","0.0217857142857142","0.0","0.5157966088797316","0.5737919256651551","0.5737919267295238","0.5737919260909026","0.0","0.0","0.0","0.0","0.0","0.0","26"
"bottleneck","4","14526","constant_velocity_mpc","0","0","0","0","1.080122060775757","16.8","140","7.99759578704834","0.2827684879302978","9.87824026614544","2.591438577430589","1.4833916058782166","0.0","0.0153571428571428","0.0","0.5201038832140347","0.5794496028730223","0.5794496041502646","0.5794496032987697","0.0","0.0","0.0","0.0","0.0","0.0","27"
"bottleneck","4","14543","constant_velocity_mpc","0","0","0","0","1.1036153507232669","16.8","140","8.175972938537598","0.2678209543228149","9.334832658874802","2.6261097205536705","1.6380482855084673","0.0","0.0125","0.0","0.5297879718175686","0.590694578649595","0.59069457950109","0.5906945788624688","0.0","0.0","0.0","0.0","0.0","0.0","28"
"bottleneck","4","14560","constant_velocity_mpc","0","0","0","0","1.0902579498291016","16.8","140","8.165071487426758","0.2690514922142029","10.028622090700082","2.4872958157743725","1.274965986102401","0.0","0.0146428571428571","0.0","0.5202500848127747","0.5789926654971899","0.5789926667744323","0.578992666987306","0.0","0.0","0.0","0.0","0.0","0.0","29"
"bottleneck","4","14067","icgp_rvo_mpc","1","0","1","0","0.4653908312320709","13.56","113","0.1849410086870193","0.9834414422512054","11.968833504477516","0.7778754544057276","0.4740871545916373","0.6410334073123007","0.2942477876106195","0.1504424778761062","0.1731467667241966","0.3299486770416738","0.340910230178112","0.6732976721160421","0.754424778761062","0.0","0.0","0.0","0.0","0.0","0"
"bottleneck","4","14084","icgp_rvo_mpc","1","0","1","0","0.4738689959049225","13.56","113","0.1726897656917572","0.9844792056828736","11.948667397489771","0.865288802585101","0.5558438472186042","0.4797387166068254","0.3238938053097345","0.1946902654867256","0.1253131840423773","0.2813649657033789","0.3032847046937174","0.6139452902316218","0.7477876106194691","0.0","0.0","0.0","0.0","0.0","1"
"bottleneck","4","14101","icgp_rvo_mpc","0","0","0","0","0.5569123029708862","16.8","140","0.2655909657478332","0.9760907646268606","11.84614652867458","0.5660497867373384","0.3885838926736532","0.8037174998337703","0.2585714285714285","0.0946428571428571","0.2218231500430707","0.3695124328742503","0.3775910909901988","0.7338990020555473","0.675","0.0071428571428571","1.0","0.0","0.9640183545368232","0.0422897932818159","2"
"bottleneck","4","14118","icgp_rvo_mpc","1","0","0","0","0.5704319477081299","13.2","110","0.1440891325473785","0.987073597498238","12.424247056711463","0.8573465283662451","0.5528906007297337","0.6810388636123125","0.3522727272727273","0.2181818181818181","0.144733068821997","0.2931763141835301","0.3128735964698405","0.618809702353627","0.7704545454545455","0.0","0.0","0.0","0.0","0.0","3"
