noise_level,method,metric,direction,trials,mean,bootstrap_ci_low,bootstrap_ci_high
medium,residual_candidate,rvo_intervention_rate,higher,240,0.6307054180888048,0.6076203448365786,0.6539939293553555
medium,residual_candidate,safety_violation,lower,240,0.029166666666666667,0.008333333333333333,0.05416666666666667
medium,residual_candidate,screen_all_reject_rate,higher,240,0.19291711101631207,0.18116123376803553,0.20446140407580488
medium,residual_candidate,screen_reject_rate,higher,240,0.3625705072257228,0.3437420999157924,0.38189543916282137
medium,residual_candidate,success,higher,240,0.4375,0.375,0.5
medium,residual_zero,collision,lower,240,0.008333333333333333,0.0,0.020833333333333332
medium,residual_zero,completion_time,lower,240,20.974999999999998,20.129,21.794999999999998
medium,residual_zero,final_goal_distance,lower,240,0.8845313620753587,0.7680813315502989,1.009807757519496
medium,residual_zero,latency_ms,lower,240,0.18998513342467788,0.18058040444554624,0.19961793097698513
medium,residual_zero,min_distance,higher,240,0.7192005321001075,0.7045576068398,0.7334138055348478
medium,residual_zero,progress_ratio,higher,240,0.9143721926220072,0.9025718721561133,0.9255149467007141
medium,residual_zero,rvo_intervention_rate,higher,240,0.6410687197242511,0.6184494249665627,0.6636290226216751
medium,residual_zero,safety_violation,lower,240,0.029166666666666667,0.008333333333333333,0.05
medium,residual_zero,screen_all_reject_rate,higher,240,0.19937375773022037,0.18787094081854147,0.21092916583644628
medium,residual_zero,screen_reject_rate,higher,240,0.35386626140561084,0.3351281021418626,0.3723020211737299
medium,residual_zero,success,higher,240,0.44583333333333336,0.38333333333333336,0.5083333333333333
