noise_level,scenario,robots,seed_index,primary,baseline,comparison,metric,direction,primary_value,baseline_value,delta,signed_improvement
clean,corridor,4,15,plain_candidate,plain_zero,plain_candidate_vs_plain_zero,safety_violation,lower,1.0,0.0,1.0,-1.0
clean,corridor,4,15,plain_candidate,plain_zero,plain_candidate_vs_plain_zero,success,higher,1.0,1.0,0.0,0.0
clean,corridor,4,15,plain_candidate,plain_zero,plain_candidate_vs_plain_zero,progress_ratio,higher,0.9889796813949944,0.9888499518856406,0.00012972950935374872,0.00012972950935374872
clean,corridor,4,15,plain_candidate,plain_zero,plain_candidate_vs_plain_zero,final_goal_distance,lower,0.112367607653141,0.1136903762817382,-0.001322768628597204,0.001322768628597204
clean,corridor,4,15,plain_candidate,plain_zero,plain_candidate_vs_plain_zero,completion_time,lower,13.8,12.6,1.200000000000001,-1.200000000000001
clean,corridor,4,15,plain_candidate,plain_zero,plain_candidate_vs_plain_zero,min_distance,higher,0.4950858950614929,0.6978138089179993,-0.20272791385650635,-0.20272791385650635
clean,corridor,4,16,plain_candidate,plain_zero,plain_candidate_vs_plain_zero,collision,lower,0.0,0.0,0.0,-0.0
clean,corridor,4,16,plain_candidate,plain_zero,plain_candidate_vs_plain_zero,safety_violation,lower,0.0,0.0,0.0,-0.0
clean,corridor,4,16,plain_candidate,plain_zero,plain_candidate_vs_plain_zero,success,higher,1.0,1.0,0.0,0.0
clean,corridor,4,16,plain_candidate,plain_zero,plain_candidate_vs_plain_zero,progress_ratio,higher,0.9892243426293136,0.9890902517363428,0.00013409089297078403,0.00013409089297078403
clean,corridor,4,16,plain_candidate,plain_zero,plain_candidate_vs_plain_zero,final_goal_distance,lower,0.1103695258498191,0.1117429509758949,-0.0013734251260758001,0.0013734251260758001
clean,corridor,4,16,plain_candidate,plain_zero,plain_candidate_vs_plain_zero,completion_time,lower,12.72,13.08,-0.35999999999999943,0.35999999999999943
clean,corridor,4,16,plain_candidate,plain_zero,plain_candidate_vs_plain_zero,min_distance,higher,0.5400606989860535,0.557983934879303,-0.01792323589324951,-0.01792323589324951
clean,corridor,4,17,plain_candidate,plain_zero,plain_candidate_vs_plain_zero,collision,lower,0.0,0.0,0.0,-0.0
clean,corridor,4,17,plain_candidate,plain_zero,plain_candidate_vs_plain_zero,safety_violation,lower,0.0,0.0,0.0,-0.0
clean,corridor,4,17,plain_candidate,plain_zero,plain_candidate_vs_plain_zero,success,higher,1.0,1.0,0.0,0.0
clean,corridor,4,17,plain_candidate,plain_zero,plain_candidate_vs_plain_zero,progress_ratio,higher,0.9872178435325624,0.9875896386802197,-0.0003717951476572834,-0.0003717951476572834
clean,corridor,4,17,plain_candidate,plain_zero,plain_candidate_vs_plain_zero,final_goal_distance,lower,0.1305404752492904,0.1267434358596801,0.0037970393896103183,-0.0037970393896103183
clean,corridor,4,17,plain_candidate,plain_zero,plain_candidate_vs_plain_zero,completion_time,lower,12.48,12.36,0.120000000000001,-0.120000000000001
clean,corridor,4,17,plain_candidate,plain_zero,plain_candidate_vs_plain_zero,min_distance,higher,0.5533391833305359,0.6260942220687866,-0.07275503873825073,-0.07275503873825073
clean,corridor,4,18,plain_candidate,plain_zero,plain_candidate_vs_plain_zero,collision,lower,0.0,0.0,0.0,-0.0
clean,corridor,4,18,plain_candidate,plain_zero,plain_candidate_vs_plain_zero,safety_violation,lower,1.0,0.0,1.0,-1.0
clean,corridor,4,18,plain_candidate,plain_zero,plain_candidate_vs_plain_zero,success,higher,1.0,1.0,0.0,0.0
clean,corridor,4,18,plain_candidate,plain_zero,plain_candidate_vs_plain_zero,progress_ratio,higher,0.9891193443909287,0.9832032807171344,0.005916063673794381,0.005916063673794381
clean,corridor,4,18,plain_candidate,plain_zero,plain_candidate_vs_plain_zero,final_goal_distance,lower,0.1110997125506401,0.1715071946382522,-0.0604074820876121,0.0604074820876121
clean,corridor,4,18,plain_candidate,plain_zero,plain_candidate_vs_plain_zero,completion_time,lower,13.92,11.76,2.16,-2.16
clean,corridor,4,18,plain_candidate,plain_zero,plain_candidate_vs_plain_zero,min_distance,higher,0.5004152655601501,0.7032188773155212,-0.2028036117553711,-0.2028036117553711
clean,corridor,4,19,plain_candidate,plain_zero,plain_candidate_vs_plain_zero,collision,lower,0.0,0.0,0.0,-0.0
clean,corridor,4,19,plain_candidate,plain_zero,plain_candidate_vs_plain_zero,safety_violation,lower,0.0,0.0,0.0,-0.0
clean,corridor,4,19,plain_candidate,plain_zero,plain_candidate_vs_plain_zero,success,higher,1.0,1.0,0.0,0.0
clean,corridor,4,19,plain_candidate,plain_zero,plain_candidate_vs_plain_zero,progress_ratio,higher,0.988119344227016,0.98982491530478,-0.0017055710777640343,-0.0017055710777640343
clean,corridor,4,19,plain_candidate,plain_zero,plain_candidate_vs_plain_zero,final_goal_distance,lower,0.1213871836662292,0.1039610058069229,0.017426177859306308,-0.017426177859306308
clean,corridor,4,19,plain_candidate,plain_zero,plain_candidate_vs_plain_zero,completion_time,lower,12.12,13.8,-1.6800000000000015,1.6800000000000015
clean,corridor,4,19,plain_candidate,plain_zero,plain_candidate_vs_plain_zero,min_distance,higher,0.6176241636276245,0.5547860264778137,0.06283813714981079,0.06283813714981079
clean,corridor,4,20,plain_candidate,plain_zero,plain_candidate_vs_plain_zero,collision,lower,0.0,0.0,0.0,-0.0
clean,corridor,4,20,plain_candidate,plain_zero,plain_candidate_vs_plain_zero,safety_violation,lower,1.0,1.0,0.0,-0.0
clean,corridor,4,20,plain_candidate,plain_zero,plain_candidate_vs_plain_zero,success,higher,1.0,1.0,0.0,0.0
clean,corridor,4,20,plain_candidate,plain_zero,plain_candidate_vs_plain_zero,progress_ratio,higher,0.9896215116605164,0.9891478614881636,0.00047365017235279083,0.00047365017235279083
clean,corridor,4,20,plain_candidate,plain_zero,plain_candidate_vs_plain_zero,final_goal_distance,lower,0.1060601994395256,0.1109005361795425,-0.004840336740016896,0.004840336740016896
clean,corridor,4,20,plain_candidate,plain_zero,plain_candidate_vs_plain_zero,completion_time,lower,13.56,13.32,0.2400000000000002,-0.2400000000000002
