noise_level,scenario,robots,seed_index,contrast,metric,direction,residual_conditioning_effect,plain_conditioning_effect,interaction_delta
low,narrow_gate,8,0,residual_conditioning_minus_plain_conditioning,completion_time,interaction,0.0,0.0,0.0
low,narrow_gate,8,0,residual_conditioning_minus_plain_conditioning,min_distance,interaction,-0.12389683723449707,0.07590609788894653,-0.1998029351234436
medium,narrow_gate,8,0,residual_conditioning_minus_plain_conditioning,collision,interaction,0.0,0.0,0.0
medium,narrow_gate,8,0,residual_conditioning_minus_plain_conditioning,safety_violation,interaction,0.0,0.0,0.0
medium,narrow_gate,8,0,residual_conditioning_minus_plain_conditioning,success,interaction,0.0,0.0,0.0
medium,narrow_gate,8,0,residual_conditioning_minus_plain_conditioning,progress_ratio,interaction,0.14979879558086395,0.041963592171669006,0.10783520340919495
medium,narrow_gate,8,0,residual_conditioning_minus_plain_conditioning,final_goal_distance,interaction,-1.5560113191604619,-0.43589019775390625,-1.1201211214065556
medium,narrow_gate,8,0,residual_conditioning_minus_plain_conditioning,completion_time,interaction,0.0,0.0,0.0
medium,narrow_gate,8,0,residual_conditioning_minus_plain_conditioning,min_distance,interaction,-0.15208685398101807,-0.09961515665054321,-0.052471697330474854
high,narrow_gate,8,0,residual_conditioning_minus_plain_conditioning,collision,interaction,0.0,0.0,0.0
high,narrow_gate,8,0,residual_conditioning_minus_plain_conditioning,safety_violation,interaction,0.0,0.0,0.0
high,narrow_gate,8,0,residual_conditioning_minus_plain_conditioning,success,interaction,0.0,0.0,0.0
high,narrow_gate,8,0,residual_conditioning_minus_plain_conditioning,progress_ratio,interaction,-0.011938348412513733,-0.045351237058639526,0.03341288864612579
high,narrow_gate,8,0,residual_conditioning_minus_plain_conditioning,final_goal_distance,interaction,0.12400782108306907,0.47107887268066406,-0.347071051597595
high,narrow_gate,8,0,residual_conditioning_minus_plain_conditioning,completion_time,interaction,0.0,0.0,0.0
