"scenario","scenario_generation_version","rvo_safety_layer_version","tier","area_policy","robots","seed","method","noise_level","sigma_p","sigma_v","observation_noise_protocol","observation_noise_seed","workspace_width","workspace_height","workspace_area","agent_density","area_per_agent","dominant_flow_axis","lateral_axis","passage_width","agents_per_passage_width","start_bounds_margin","goal_bounds_margin","starts_out_of_bounds","goals_out_of_bounds","initial_collision","initial_safety_violation","initial_obstacle_collision","initial_min_distance","success","collision","safety_violation","obstacle_collision","min_distance","completion_time","steps","final_goal_distance","max_final_goal_distance","progress_ratio","path_length","control_effort","smoothness","latency_ms","screen_reject_rate","screen_all_reject_rate","screen_min_margin","screen_selected_margin","screen_predicted_margin","screen_runtime_margin","rvo_intervention_rate","seed_index"
"narrow_gate","density_v4_interaction_tiers","rvo_multistep_density_v1","main","fixed","4","14432","residual_passive_rvo_mpc","medium","0.05","0.1","neighbor_gaussian_v1","13516710514710311727","12.0","8.0","96.0","0.041666666666666664","24.0","x","y","2.2","1.8181818181818181","0.8625893592834473","0.8465166091918945","0","0","0","0","0","2.847047805786133","1","0","0","0","0.6772640943527222","14.879999999999999","124","0.10819730907678604","0.32707974314689636","0.9897432085126638","11.321507092739921","0.8105073108397925","0.6187488278728643","5.265516531512877","0.21491935483870966","0.16129032258064516","0.624526425445338","0.7194173984358077","0.7742884662491597","1.1343583954513072","0.46169354838709675","15"
"narrow_gate","density_v4_interaction_tiers","rvo_multistep_density_v1","main","fixed","4","14432","rvo_reactive","medium","0.05","0.1","neighbor_gaussian_v1","13516710514710311727","12.0","8.0","96.0","0.041666666666666664","24.0","x","y","2.2","1.8181818181818181","0.8625893592834473","0.8465166091918945","0","0","0","0","0","2.847047805786133","1","0","0","0","0.8355989147156834","18.72","156","0.1307000070810318","0.35905057191848755","0.9876100178807974","11.623465519647652","0.35936542324466597","0.29129144437805127","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.3717948717948718","15"
"narrow_gate","density_v4_interaction_tiers","rvo_multistep_density_v1","main","fixed","4","14449","icgp_rvo_mpc","medium","0.05","0.1","neighbor_gaussian_v1","15651223210679561270","12.0","8.0","96.0","0.041666666666666664","24.0","x","y","2.2","1.8181818181818181","0.800940990447998","0.8751530647277832","0","0","0","0","0","2.7816874980926514","1","0","0","0","0.8245391845703125","23.16","193","0.13231953978538513","0.3118078410625458","0.9874441986903548","13.523554185565445","0.8185839615738106","0.6782549835846576","24.528849481814902","0.22409326424870465","0.10233160621761658","0.6274650135031086","0.7790929077331864","0.815707756026379","1.1653209484664124","0.4883419689119171","16"
"narrow_gate","density_v4_interaction_tiers","rvo_multistep_density_v1","main","fixed","4","14449","passive_rvo_mpc","medium","0.05","0.1","neighbor_gaussian_v1","15651223210679561270","12.0","8.0","96.0","0.041666666666666664","24.0","x","y","2.2","1.8181818181818181","0.800940990447998","0.8751530647277832","0","0","0","0","0","2.7816874980926514","0","0","0","0","0.8182563113445976","26.4","220","3.737276315689087","8.154741287231445","0.645369827747345","10.619021250509832","0.7748577949908477","0.6757004877458288","24.087546703231055","0.4168181818181818","0.10454545454545454","0.09675211978165936","0.25904914327416223","0.2682110610225954","0.737253465795825","0.6556818181818181","16"
"narrow_gate","density_v4_interaction_tiers","rvo_multistep_density_v1","main","fixed","4","14449","residual_passive_rvo_mpc","medium","0.05","0.1","neighbor_gaussian_v1","15651223210679561270","12.0","8.0","96.0","0.041666666666666664","24.0","x","y","2.2","1.8181818181818181","0.800940990447998","0.8751530647277832","0","0","0","0","0","2.7816874980926514","1","0","0","0","0.6511641144752502","23.4","195","0.10289771109819412","0.2893112897872925","0.9902360355481505","12.913264855276793","0.6244830173076107","0.5051169118594525","24.253717951703436","0.19025641025641027","0.06794871794871794","0.7903050810245641","0.8975410894732396","0.9221960986836323","1.2511435007776208","0.4128205128205128","16"
"narrow_gate","density_v4_interaction_tiers","rvo_multistep_density_v1","main","fixed","4","14449","rvo_reactive","medium","0.05","0.1","neighbor_gaussian_v1","15651223210679561270","12.0","8.0","96.0","0.041666666666666664","24.0","x","y","2.2","1.8181818181818181","0.800940990447998","0.8751530647277832","0","0","0","0","0","2.7816874980926514","1","0","0","0","0.6166290640830994","14.16","118","0.14574116468429565","0.2998735010623932","0.9861706206575036","10.936523455267888","0.38867976771020407","0.3347506088094186","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.3983050847457627","16"
"narrow_gate","density_v4_interaction_tiers","rvo_multistep_density_v1","main","fixed","4","14466","icgp_rvo_mpc","medium","0.05","0.1","neighbor_gaussian_v1","15237529184779789850","12.0","8.0","96.0","0.041666666666666664","24.0","x","y","2.2","1.8181818181818181","0.7981071472167969","0.8545103073120117","0","0","0","0","0","2.8641459941864014","0","0","0","0","0.8084871242234918","26.4","220","0.38845667243003845","1.4125277996063232","0.9633498974144459","12.661635751690483","0.653049316999783","0.5274657089199701","11.448207387531346","0.22136363636363637","0.13863636363636364","0.76329461055899","0.9223418812312122","0.9306268291008686","1.3804015381915806","0.4193181818181818","17"
"narrow_gate","density_v4_interaction_tiers","rvo_multistep_density_v1","main","fixed","4","14466","passive_rvo_mpc","medium","0.05","0.1","neighbor_gaussian_v1","15237529184779789850","12.0","8.0","96.0","0.041666666666666664","24.0","x","y","2.2","1.8181818181818181","0.7981071472167969","0.8545103073120117","0","0","0","0","0","2.8641459941864014","1","0","0","0","0.7135459780693054","20.64","172","0.11981214582920074","0.33103129267692566","0.9886959660798311","12.710223608883098","0.7646463920069901","0.5291976144017522","11.57526773106859","0.2802325581395349","0.19767441860465115","0.5607061802037072","0.6916967581363949","0.7098617570416057","1.317972734773999","0.46656976744186046","17"
"narrow_gate","density_v4_interaction_tiers","rvo_multistep_density_v1","main","fixed","4","14466","residual_passive_rvo_mpc","medium","0.05","0.1","neighbor_gaussian_v1","15237529184779789850","12.0","8.0","96.0","0.041666666666666664","24.0","x","y","2.2","1.8181818181818181","0.7981071472167969","0.8545103073120117","0","0","0","0","0","2.8641459941864014","1","0","0","0","0.7503699660301208","16.08","134","0.10203687846660614","0.28566694259643555","0.9903730265796185","12.163331810821546","1.0140556299106789","0.7011927080048777","14.29507369305869","0.27238805970149255","0.1921641791044776","0.5114084364005694","0.6172554156000565","0.6314888629475859","1.0632381114188763","0.5541044776119403","17"
"narrow_gate","density_v4_interaction_tiers","rvo_multistep_density_v1","main","fixed","4","14466","rvo_reactive","medium","0.05","0.1","neighbor_gaussian_v1","15237529184779789850","12.0","8.0","96.0","0.041666666666666664","24.0","x","y","2.2","1.8181818181818181","0.7981071472167969","0.8545103073120117","0","0","0","0","0","2.8641459941864014","0","0","0","0","0.8311057686805725","26.4","220","4.865148544311523","7.345693111419678","0.5409830510616302","7.843708734733809","0.4213083697906272","0.5789708022917197","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.7102272727272727","17"
