noise_level,scenario,robots,seed,primary,baseline,comparison,metric,direction,primary_value,baseline_value,delta,signed_improvement
clean,corridor,4,14004,icgp_rvo_mpc,passive_rvo_mpc,icgp_rvo_mpc_vs_passive_rvo_mpc,progress_ratio,higher,0.9861421259120108,0.9853858985006808,0.0007562274113299683,0.0007562274113299683
clean,corridor,4,14004,icgp_rvo_mpc,passive_rvo_mpc,icgp_rvo_mpc_vs_passive_rvo_mpc,final_goal_distance,lower,0.1414860785007476,0.1492070108652115,-0.007720932364463889,0.007720932364463889
clean,corridor,4,14004,icgp_rvo_mpc,passive_rvo_mpc,icgp_rvo_mpc_vs_passive_rvo_mpc,completion_time,lower,12.96,12.0,0.9600000000000009,-0.9600000000000009
clean,corridor,4,14004,icgp_rvo_mpc,passive_rvo_mpc,icgp_rvo_mpc_vs_passive_rvo_mpc,min_distance,higher,0.4990583658218384,0.6250761151313782,-0.1260177493095398,-0.1260177493095398
clean,corridor,4,14021,icgp_rvo_mpc,passive_rvo_mpc,icgp_rvo_mpc_vs_passive_rvo_mpc,collision,lower,0.0,0.0,0.0,-0.0
clean,corridor,4,14021,icgp_rvo_mpc,passive_rvo_mpc,icgp_rvo_mpc_vs_passive_rvo_mpc,safety_violation,lower,0.0,0.0,0.0,-0.0
clean,corridor,4,14021,icgp_rvo_mpc,passive_rvo_mpc,icgp_rvo_mpc_vs_passive_rvo_mpc,success,higher,1.0,1.0,0.0,0.0
clean,corridor,4,14021,icgp_rvo_mpc,passive_rvo_mpc,icgp_rvo_mpc_vs_passive_rvo_mpc,progress_ratio,higher,0.9856275143101813,0.9877504650503396,-0.002122950740158336,-0.002122950740158336
clean,corridor,4,14021,icgp_rvo_mpc,passive_rvo_mpc,icgp_rvo_mpc_vs_passive_rvo_mpc,final_goal_distance,lower,0.1468305140733719,0.1251422762870788,0.021688237786293085,-0.021688237786293085
clean,corridor,4,14021,icgp_rvo_mpc,passive_rvo_mpc,icgp_rvo_mpc_vs_passive_rvo_mpc,completion_time,lower,11.88,12.48,-0.5999999999999996,0.5999999999999996
clean,corridor,4,14021,icgp_rvo_mpc,passive_rvo_mpc,icgp_rvo_mpc_vs_passive_rvo_mpc,min_distance,higher,0.655632495880127,0.5442267060279846,0.11140578985214233,0.11140578985214233
clean,corridor,4,14038,icgp_rvo_mpc,passive_rvo_mpc,icgp_rvo_mpc_vs_passive_rvo_mpc,collision,lower,0.0,0.0,0.0,-0.0
clean,corridor,4,14038,icgp_rvo_mpc,passive_rvo_mpc,icgp_rvo_mpc_vs_passive_rvo_mpc,safety_violation,lower,0.0,0.0,0.0,-0.0
clean,corridor,4,14038,icgp_rvo_mpc,passive_rvo_mpc,icgp_rvo_mpc_vs_passive_rvo_mpc,success,higher,1.0,1.0,0.0,0.0
clean,corridor,4,14038,icgp_rvo_mpc,passive_rvo_mpc,icgp_rvo_mpc_vs_passive_rvo_mpc,progress_ratio,higher,0.9888406889513136,0.9890836896374822,-0.00024300068616855963,-0.00024300068616855963
clean,corridor,4,14038,icgp_rvo_mpc,passive_rvo_mpc,icgp_rvo_mpc_vs_passive_rvo_mpc,final_goal_distance,lower,0.1139406636357307,0.1114595383405685,0.002481125295162201,-0.002481125295162201
clean,corridor,4,14038,icgp_rvo_mpc,passive_rvo_mpc,icgp_rvo_mpc_vs_passive_rvo_mpc,completion_time,lower,13.08,12.84,0.2400000000000002,-0.2400000000000002
clean,corridor,4,14038,icgp_rvo_mpc,passive_rvo_mpc,icgp_rvo_mpc_vs_passive_rvo_mpc,min_distance,higher,0.5232574939727783,0.5324076414108276,-0.009150147438049316,-0.009150147438049316
clean,corridor,4,14055,icgp_rvo_mpc,passive_rvo_mpc,icgp_rvo_mpc_vs_passive_rvo_mpc,collision,lower,0.0,0.0,0.0,-0.0
clean,corridor,4,14055,icgp_rvo_mpc,passive_rvo_mpc,icgp_rvo_mpc_vs_passive_rvo_mpc,safety_violation,lower,0.0,0.0,0.0,-0.0
clean,corridor,4,14055,icgp_rvo_mpc,passive_rvo_mpc,icgp_rvo_mpc_vs_passive_rvo_mpc,success,higher,1.0,1.0,0.0,0.0
clean,corridor,4,14055,icgp_rvo_mpc,passive_rvo_mpc,icgp_rvo_mpc_vs_passive_rvo_mpc,progress_ratio,higher,0.9864433202892542,0.9880040278658272,-0.001560707576573006,-0.001560707576573006
clean,corridor,4,14055,icgp_rvo_mpc,passive_rvo_mpc,icgp_rvo_mpc_vs_passive_rvo_mpc,final_goal_distance,lower,0.1385673284530639,0.1226148158311843,0.015952512621879605,-0.015952512621879605
clean,corridor,4,14055,icgp_rvo_mpc,passive_rvo_mpc,icgp_rvo_mpc_vs_passive_rvo_mpc,completion_time,lower,11.16,13.44,-2.2799999999999994,2.2799999999999994
clean,corridor,4,14055,icgp_rvo_mpc,passive_rvo_mpc,icgp_rvo_mpc_vs_passive_rvo_mpc,min_distance,higher,0.7041006088256836,0.5409210920333862,0.16317951679229736,0.16317951679229736
clean,corridor,4,14072,icgp_rvo_mpc,passive_rvo_mpc,icgp_rvo_mpc_vs_passive_rvo_mpc,collision,lower,0.0,0.0,0.0,-0.0
clean,corridor,4,14072,icgp_rvo_mpc,passive_rvo_mpc,icgp_rvo_mpc_vs_passive_rvo_mpc,safety_violation,lower,0.0,0.0,0.0,-0.0
clean,corridor,4,14072,icgp_rvo_mpc,passive_rvo_mpc,icgp_rvo_mpc_vs_passive_rvo_mpc,success,higher,1.0,1.0,0.0,0.0
clean,corridor,4,14072,icgp_rvo_mpc,passive_rvo_mpc,icgp_rvo_mpc_vs_passive_rvo_mpc,progress_ratio,higher,0.9879906717687844,0.9855863526463507,0.0024043191224336624,0.0024043191224336624
clean,corridor,4,14072,icgp_rvo_mpc,passive_rvo_mpc,icgp_rvo_mpc_vs_passive_rvo_mpc,final_goal_distance,lower,0.1229351311922073,0.1475472748279571,-0.024612143635749803,0.024612143635749803
clean,corridor,4,14072,icgp_rvo_mpc,passive_rvo_mpc,icgp_rvo_mpc_vs_passive_rvo_mpc,completion_time,lower,12.72,12.0,0.7200000000000006,-0.7200000000000006
clean,corridor,4,14072,icgp_rvo_mpc,passive_rvo_mpc,icgp_rvo_mpc_vs_passive_rvo_mpc,min_distance,higher,0.527911901473999,0.6248181462287903,-0.09690624475479126,-0.09690624475479126
clean,corridor,4,14089,icgp_rvo_mpc,passive_rvo_mpc,icgp_rvo_mpc_vs_passive_rvo_mpc,collision,lower,0.0,0.0,0.0,-0.0
clean,corridor,4,14089,icgp_rvo_mpc,passive_rvo_mpc,icgp_rvo_mpc_vs_passive_rvo_mpc,safety_violation,lower,1.0,1.0,0.0,-0.0
clean,corridor,4,14089,icgp_rvo_mpc,passive_rvo_mpc,icgp_rvo_mpc_vs_passive_rvo_mpc,success,higher,1.0,1.0,0.0,0.0
clean,corridor,4,14089,icgp_rvo_mpc,passive_rvo_mpc,icgp_rvo_mpc_vs_passive_rvo_mpc,progress_ratio,higher,0.9871559860184788,0.9888799907639624,-0.0017240047454836205,-0.0017240047454836205
clean,corridor,4,14089,icgp_rvo_mpc,passive_rvo_mpc,icgp_rvo_mpc_vs_passive_rvo_mpc,final_goal_distance,lower,0.1312454044818878,0.1136288195848465,0.017616584897041293,-0.017616584897041293
clean,corridor,4,14089,icgp_rvo_mpc,passive_rvo_mpc,icgp_rvo_mpc_vs_passive_rvo_mpc,completion_time,lower,12.96,13.2,-0.23999999999999844,0.23999999999999844
clean,corridor,4,14089,icgp_rvo_mpc,passive_rvo_mpc,icgp_rvo_mpc_vs_passive_rvo_mpc,min_distance,higher,0.5179093480110168,0.4973822832107544,0.02052706480026245,0.02052706480026245
clean,corridor,4,14106,icgp_rvo_mpc,passive_rvo_mpc,icgp_rvo_mpc_vs_passive_rvo_mpc,collision,lower,0.0,0.0,0.0,-0.0
clean,corridor,4,14106,icgp_rvo_mpc,passive_rvo_mpc,icgp_rvo_mpc_vs_passive_rvo_mpc,safety_violation,lower,0.0,0.0,0.0,-0.0
clean,corridor,4,14106,icgp_rvo_mpc,passive_rvo_mpc,icgp_rvo_mpc_vs_passive_rvo_mpc,success,higher,1.0,1.0,0.0,0.0
clean,corridor,4,14106,icgp_rvo_mpc,passive_rvo_mpc,icgp_rvo_mpc_vs_passive_rvo_mpc,progress_ratio,higher,0.9869379755109547,0.9878179263323544,-0.0008799508213996887,-0.0008799508213996887
clean,corridor,4,14106,icgp_rvo_mpc,passive_rvo_mpc,icgp_rvo_mpc_vs_passive_rvo_mpc,final_goal_distance,lower,0.1332286894321441,0.1242534592747688,0.008975230157375308,-0.008975230157375308
clean,corridor,4,14106,icgp_rvo_mpc,passive_rvo_mpc,icgp_rvo_mpc_vs_passive_rvo_mpc,completion_time,lower,12.72,12.6,0.120000000000001,-0.120000000000001
clean,corridor,4,14106,icgp_rvo_mpc,passive_rvo_mpc,icgp_rvo_mpc_vs_passive_rvo_mpc,min_distance,higher,0.5359490513801575,0.5380753874778748,-0.002126336097717285,-0.002126336097717285
clean,corridor,4,14123,icgp_rvo_mpc,passive_rvo_mpc,icgp_rvo_mpc_vs_passive_rvo_mpc,collision,lower,0.0,0.0,0.0,-0.0
clean,corridor,4,14123,icgp_rvo_mpc,passive_rvo_mpc,icgp_rvo_mpc_vs_passive_rvo_mpc,safety_violation,lower,0.0,0.0,0.0,-0.0
clean,corridor,4,14123,icgp_rvo_mpc,passive_rvo_mpc,icgp_rvo_mpc_vs_passive_rvo_mpc,success,higher,1.0,1.0,0.0,0.0
clean,corridor,4,14123,icgp_rvo_mpc,passive_rvo_mpc,icgp_rvo_mpc_vs_passive_rvo_mpc,progress_ratio,higher,0.9824024625122548,0.9891756400465964,-0.00677317753434159,-0.00677317753434159
clean,corridor,4,14123,icgp_rvo_mpc,passive_rvo_mpc,icgp_rvo_mpc_vs_passive_rvo_mpc,final_goal_distance,lower,0.1794315725564956,0.1103695333003997,0.06906203925609591,-0.06906203925609591
clean,corridor,4,14123,icgp_rvo_mpc,passive_rvo_mpc,icgp_rvo_mpc_vs_passive_rvo_mpc,completion_time,lower,11.52,12.48,-0.9600000000000009,0.9600000000000009
clean,corridor,4,14123,icgp_rvo_mpc,passive_rvo_mpc,icgp_rvo_mpc_vs_passive_rvo_mpc,min_distance,higher,0.7181321978569031,0.5221496224403381,0.19598257541656494,0.19598257541656494
clean,corridor,4,14140,icgp_rvo_mpc,passive_rvo_mpc,icgp_rvo_mpc_vs_passive_rvo_mpc,collision,lower,0.0,0.0,0.0,-0.0
clean,corridor,4,14140,icgp_rvo_mpc,passive_rvo_mpc,icgp_rvo_mpc_vs_passive_rvo_mpc,safety_violation,lower,1.0,1.0,0.0,-0.0
clean,corridor,4,14140,icgp_rvo_mpc,passive_rvo_mpc,icgp_rvo_mpc_vs_passive_rvo_mpc,success,higher,1.0,1.0,0.0,0.0
clean,corridor,4,14140,icgp_rvo_mpc,passive_rvo_mpc,icgp_rvo_mpc_vs_passive_rvo_mpc,progress_ratio,higher,0.9875691467896104,0.9902000343427062,-0.0026308875530958176,-0.0026308875530958176
clean,corridor,4,14140,icgp_rvo_mpc,passive_rvo_mpc,icgp_rvo_mpc_vs_passive_rvo_mpc,final_goal_distance,lower,0.1273228526115417,0.1003760248422622,0.026946827769279494,-0.026946827769279494
