noise_level,comparison,metric,direction,paired_cases,mean_delta,bootstrap_ci_low,bootstrap_ci_high,sign_flip_p,mean_signed_improvement,primary_better_rate
low,icgp_rvo_mpc_vs_residual_passive_rvo_mpc,completion_time,lower,240,-0.15749999999999995,-0.4454999999999999,0.1275,0.29017098290170984,0.15749999999999995,0.25
low,icgp_rvo_mpc_vs_residual_passive_rvo_mpc,final_goal_distance,lower,240,-0.06818568895881373,-0.15053487523769335,0.010124607384204854,0.0938906109389061,0.06818568895881373,0.5541666666666667
low,icgp_rvo_mpc_vs_residual_passive_rvo_mpc,min_distance,higher,240,-0.009196477799688352,-0.021973992558449167,0.003290804611851068,0.15378462153784622,-0.009196477799688352,0.44583333333333336
low,icgp_rvo_mpc_vs_residual_passive_rvo_mpc,progress_ratio,higher,240,0.006518076096350957,-0.0010995080791568912,0.014222646043635911,0.09359064093590641,0.006518076096350957,0.5541666666666667
low,icgp_rvo_mpc_vs_residual_passive_rvo_mpc,safety_violation,lower,240,0.0,-0.0375,0.0375,1.0,0.0,0.04583333333333333
low,icgp_rvo_mpc_vs_residual_passive_rvo_mpc,success,higher,240,0.020833333333333332,-0.004166666666666667,0.04583333333333333,0.17798220177982202,0.020833333333333332,0.029166666666666667
low,icgp_rvo_mpc_vs_rvo_reactive,collision,lower,240,0.004166666666666667,-0.008333333333333333,0.016666666666666666,1.0,-0.004166666666666667,0.004166666666666667
low,icgp_rvo_mpc_vs_rvo_reactive,completion_time,lower,240,0.1159999999999999,-0.28700000000000003,0.5399999999999998,0.5797420257974203,-0.1159999999999999,0.31666666666666665
low,icgp_rvo_mpc_vs_rvo_reactive,final_goal_distance,lower,240,0.3191465742265185,0.2083971367512519,0.4305792013206519,9.999000099990002e-05,-0.3191465742265185,0.5541666666666667
low,icgp_rvo_mpc_vs_rvo_reactive,min_distance,higher,240,-0.06323424788523761,-0.08230765950403109,-0.04464715559843252,9.999000099990002e-05,-0.06323424788523761,0.35
low,icgp_rvo_mpc_vs_rvo_reactive,progress_ratio,higher,240,-0.030470877590899663,-0.04130269146640784,-0.01998047509017244,9.999000099990002e-05,-0.030470877590899663,0.5541666666666667
low,icgp_rvo_mpc_vs_rvo_reactive,safety_violation,lower,240,0.0125,-0.025,0.05,0.676932306769323,-0.0125,0.041666666666666664
low,icgp_rvo_mpc_vs_rvo_reactive,success,higher,240,-0.04583333333333333,-0.075,-0.020833333333333332,0.0011998800119988001,-0.04583333333333333,0.0
medium,icgp_rvo_mpc_vs_passive_rvo_mpc,collision,lower,240,0.0125,0.0,0.029166666666666667,0.2522747725227477,-0.0125,0.0
medium,icgp_rvo_mpc_vs_passive_rvo_mpc,completion_time,lower,240,-0.6269999999999999,-0.9964999999999998,-0.26249999999999996,0.0006999300069993001,0.6269999999999999,0.37083333333333335
medium,icgp_rvo_mpc_vs_passive_rvo_mpc,final_goal_distance,lower,240,-0.022674882722397646,-0.11110859811306,0.06306803158251569,0.6093390660933906,0.022674882722397646,0.4875
medium,icgp_rvo_mpc_vs_passive_rvo_mpc,min_distance,higher,240,-0.00032440744923507755,-0.013480443153363412,0.013027117762258643,0.9641035896410359,-0.00032440744923507755,0.525
medium,icgp_rvo_mpc_vs_passive_rvo_mpc,progress_ratio,higher,240,0.0021005256450735057,-0.005948069308069527,0.01034711133940921,0.6196380361963804,0.0021005256450735057,0.4875
medium,icgp_rvo_mpc_vs_passive_rvo_mpc,safety_violation,lower,240,0.025,-0.025,0.075,0.41135886411358863,-0.025,0.0625
medium,icgp_rvo_mpc_vs_passive_rvo_mpc,success,higher,240,0.016666666666666666,-0.016666666666666666,0.05,0.48655134486551344,0.016666666666666666,0.04583333333333333
medium,icgp_rvo_mpc_vs_residual_passive_rvo_mpc,collision,lower,240,0.0125,0.0,0.029166666666666667,0.24227577242275772,-0.0125,0.0
medium,icgp_rvo_mpc_vs_residual_passive_rvo_mpc,completion_time,lower,240,-0.000999999999999949,-0.32349999999999995,0.33999999999999997,0.9977002299770023,0.000999999999999949,0.2791666666666667
medium,icgp_rvo_mpc_vs_residual_passive_rvo_mpc,final_goal_distance,lower,240,-0.005119939583043247,-0.08806467844406143,0.08205799150591098,0.9093090690930907,0.005119939583043247,0.49583333333333335
medium,icgp_rvo_mpc_vs_residual_passive_rvo_mpc,min_distance,higher,240,-0.014248155875727607,-0.02811676383162811,-0.0007614664877472317,0.042695730426957304,-0.014248155875727607,0.45
medium,icgp_rvo_mpc_vs_residual_passive_rvo_mpc,progress_ratio,higher,240,0.0004899306028770867,-0.007510136320391522,0.008565677014024296,0.9057094290570943,0.0004899306028770867,0.49583333333333335
medium,icgp_rvo_mpc_vs_residual_passive_rvo_mpc,safety_violation,lower,240,0.0375,-0.008333333333333333,0.08333333333333333,0.14878512148785122,-0.0375,0.04583333333333333
medium,icgp_rvo_mpc_vs_residual_passive_rvo_mpc,success,higher,240,-0.016666666666666666,-0.04583333333333333,0.0125,0.42125787421257876,-0.016666666666666666,0.020833333333333332
medium,icgp_rvo_mpc_vs_rvo_reactive,collision,lower,240,-0.004166666666666667,-0.025,0.016666666666666666,1.0,0.004166666666666667,0.016666666666666666
medium,icgp_rvo_mpc_vs_rvo_reactive,completion_time,lower,240,-0.11699999999999994,-0.5319999999999999,0.30551249999999985,0.591040895910409,0.11699999999999994,0.3375
medium,icgp_rvo_mpc_vs_rvo_reactive,final_goal_distance,lower,240,0.2856284796881179,0.1702104217815213,0.3990111020277254,9.999000099990002e-05,-0.2856284796881179,0.5416666666666666
medium,icgp_rvo_mpc_vs_rvo_reactive,min_distance,higher,240,-0.06900643293251203,-0.08750742842254809,-0.05086246903477233,9.999000099990002e-05,-0.06900643293251203,0.2916666666666667
medium,icgp_rvo_mpc_vs_rvo_reactive,progress_ratio,higher,240,-0.027375572694775953,-0.038145023303319855,-0.016731682260578945,9.999000099990002e-05,-0.027375572694775953,0.5416666666666666
medium,icgp_rvo_mpc_vs_rvo_reactive,safety_violation,lower,240,0.020833333333333332,-0.020833333333333332,0.0625,0.43415658434156584,-0.020833333333333332,0.04583333333333333
medium,icgp_rvo_mpc_vs_rvo_reactive,success,higher,240,-0.0375,-0.075,-0.004166666666666667,0.06189381061893811,-0.0375,0.020833333333333332
