time_s,robot_id,model_name,pose_topic,x,y,yaw,bridge_source,odom_mode,start_x,start_y,start_error_m,within_start_tolerance
14.300000,robot4,robot4,/robot4/ground_truth_pose,2.200000,0.700000,-2.961740,model_states,world,2.200000,0.700000,0.000000,True
14.400000,robot1,robot1,/robot1/ground_truth_pose,-2.200005,-0.899981,0.288381,model_states,world,-2.200000,-0.900000,0.000020,True
14.400000,robot2,robot2,/robot2/ground_truth_pose,-2.199947,0.299713,-0.158851,model_states,world,-2.200000,0.300000,0.000292,True
14.400000,robot3,robot3,/robot3/ground_truth_pose,2.200000,-0.700000,2.833540,model_states,world,2.200000,-0.700000,0.000000,True
14.400000,robot4,robot4,/robot4/ground_truth_pose,2.200000,0.700000,-2.961740,model_states,world,2.200000,0.700000,0.000000,True
14.500000,robot1,robot1,/robot1/ground_truth_pose,-2.200006,-0.899980,0.288404,model_states,world,-2.200000,-0.900000,0.000021,True
14.500000,robot2,robot2,/robot2/ground_truth_pose,-2.199947,0.299713,-0.158862,model_states,world,-2.200000,0.300000,0.000292,True
14.500000,robot3,robot3,/robot3/ground_truth_pose,2.200000,-0.700000,2.833540,model_states,world,2.200000,-0.700000,0.000000,True
14.500000,robot4,robot4,/robot4/ground_truth_pose,2.200000,0.700000,-2.961740,model_states,world,2.200000,0.700000,0.000000,True
14.600000,robot1,robot1,/robot1/ground_truth_pose,-2.200006,-0.899980,0.288428,model_states,world,-2.200000,-0.900000,0.000021,True
14.600000,robot2,robot2,/robot2/ground_truth_pose,-2.199946,0.299713,-0.158873,model_states,world,-2.200000,0.300000,0.000292,True
14.600000,robot3,robot3,/robot3/ground_truth_pose,2.200000,-0.700000,2.833540,model_states,world,2.200000,-0.700000,0.000000,True
14.600000,robot4,robot4,/robot4/ground_truth_pose,2.200000,0.700000,-2.961740,model_states,world,2.200000,0.700000,0.000000,True
14.700000,robot1,robot1,/robot1/ground_truth_pose,-2.200006,-0.899980,0.288448,model_states,world,-2.200000,-0.900000,0.000021,True
14.700000,robot2,robot2,/robot2/ground_truth_pose,-2.199946,0.299714,-0.158885,model_states,world,-2.200000,0.300000,0.000291,True
14.700000,robot3,robot3,/robot3/ground_truth_pose,2.200000,-0.700000,2.833540,model_states,world,2.200000,-0.700000,0.000000,True
14.700000,robot4,robot4,/robot4/ground_truth_pose,2.200000,0.700000,-2.961740,model_states,world,2.200000,0.700000,0.000000,True
14.800000,robot1,robot1,/robot1/ground_truth_pose,-2.200007,-0.899979,0.288471,model_states,world,-2.200000,-0.900000,0.000022,True
14.800000,robot2,robot2,/robot2/ground_truth_pose,-2.199946,0.299714,-0.158896,model_states,world,-2.200000,0.300000,0.000291,True
14.800000,robot3,robot3,/robot3/ground_truth_pose,2.200000,-0.700000,2.833540,model_states,world,2.200000,-0.700000,0.000000,True
14.800000,robot4,robot4,/robot4/ground_truth_pose,2.200000,0.700000,-2.961740,model_states,world,2.200000,0.700000,0.000000,True
14.900000,robot1,robot1,/robot1/ground_truth_pose,-2.200007,-0.899979,0.288494,model_states,world,-2.200000,-0.900000,0.000022,True
14.900000,robot2,robot2,/robot2/ground_truth_pose,-2.199946,0.299714,-0.158907,model_states,world,-2.200000,0.300000,0.000291,True
14.900000,robot3,robot3,/robot3/ground_truth_pose,2.200000,-0.700000,2.833540,model_states,world,2.200000,-0.700000,0.000000,True
14.900000,robot4,robot4,/robot4/ground_truth_pose,2.200000,0.700000,-2.961740,model_states,world,2.200000,0.700000,0.000000,True
15.000000,robot1,robot1,/robot1/ground_truth_pose,-2.200008,-0.899979,0.288513,model_states,world,-2.200000,-0.900000,0.000023,True
15.000000,robot2,robot2,/robot2/ground_truth_pose,-2.199946,0.299715,-0.158919,model_states,world,-2.200000,0.300000,0.000290,True
15.000000,robot3,robot3,/robot3/ground_truth_pose,2.200000,-0.700000,2.833540,model_states,world,2.200000,-0.700000,0.000000,True
15.000000,robot4,robot4,/robot4/ground_truth_pose,2.200000,0.700000,-2.961740,model_states,world,2.200000,0.700000,0.000000,True
15.100000,robot1,robot1,/robot1/ground_truth_pose,-2.200008,-0.899978,0.288535,model_states,world,-2.200000,-0.900000,0.000023,True
15.100000,robot2,robot2,/robot2/ground_truth_pose,-2.199945,0.299715,-0.158929,model_states,world,-2.200000,0.300000,0.000290,True
15.100000,robot3,robot3,/robot3/ground_truth_pose,2.200000,-0.700000,2.833540,model_states,world,2.200000,-0.700000,0.000000,True
15.100000,robot4,robot4,/robot4/ground_truth_pose,2.200000,0.700000,-2.961740,model_states,world,2.200000,0.700000,0.000000,True
15.200000,robot1,robot1,/robot1/ground_truth_pose,-2.200008,-0.899978,0.288557,model_states,world,-2.200000,-0.900000,0.000023,True
15.200000,robot2,robot2,/robot2/ground_truth_pose,-2.199945,0.299716,-0.158940,model_states,world,-2.200000,0.300000,0.000290,True
15.200000,robot3,robot3,/robot3/ground_truth_pose,2.200000,-0.700000,2.833540,model_states,world,2.200000,-0.700000,0.000000,True
15.200000,robot4,robot4,/robot4/ground_truth_pose,2.200000,0.700000,-2.961740,model_states,world,2.200000,0.700000,0.000000,True
15.300000,robot1,robot1,/robot1/ground_truth_pose,-2.200009,-0.899978,0.288576,model_states,world,-2.200000,-0.900000,0.000024,True
