time_s,robot_i,robot_j,distance_m
19.550000000000008,robot1,robot2,1.6961515722016867
19.550000000000008,robot1,robot3,1.84244644216026
19.550000000000008,robot1,robot4,2.6098365717031498
19.550000000000008,robot2,robot3,1.8543003058540024
19.550000000000008,robot2,robot4,1.1856610004341444
19.550000000000008,robot3,robot4,1.760433156135231
19.60000000000001,robot1,robot2,1.7019198933807085
19.60000000000001,robot1,robot3,1.84278904999053
19.60000000000001,robot1,robot4,2.6096409096013575
19.60000000000001,robot2,robot3,1.8487570032213527
19.60000000000001,robot2,robot4,1.1741916893761413
19.60000000000001,robot3,robot4,1.7606818905980717
19.65000000000001,robot1,robot2,1.706845487079327
19.65000000000001,robot1,robot3,1.8427841438283334
19.65000000000001,robot1,robot4,2.6095366300481033
19.65000000000001,robot2,robot3,1.8436575944309206
19.65000000000001,robot2,robot4,1.164627272247433
19.65000000000001,robot3,robot4,1.7604894645238753
19.700000000000006,robot1,robot2,1.7118106545349143
19.700000000000006,robot1,robot3,1.842779243841893
19.700000000000006,robot1,robot4,2.6094323506092754
19.700000000000006,robot2,robot3,1.8385940723855412
19.700000000000006,robot2,robot4,1.1550644876689775
19.700000000000006,robot3,robot4,1.7602970399407736
19.750000000000007,robot1,robot2,1.7168150523960244
19.750000000000007,robot1,robot3,1.842774350031258
19.750000000000007,robot1,robot4,2.609328071284888
19.750000000000007,robot2,robot3,1.8335667343964632
19.750000000000007,robot2,robot4,1.1455033765268863
19.750000000000007,robot3,robot4,1.760104616849255
19.800000000000008,robot1,robot2,1.7218583386057054
19.800000000000008,robot1,robot3,1.8427694623964765
19.800000000000008,robot1,robot4,2.6092237920749533
19.800000000000008,robot2,robot3,1.8285758789082283
19.800000000000008,robot2,robot4,1.1359439810765317
19.800000000000008,robot3,robot4,1.7599121952498085
19.85000000000001,robot1,robot2,1.7221703209944856
19.85000000000001,robot1,robot3,1.8427302651593505
19.85000000000001,robot1,robot4,2.6091410496150838
19.85000000000001,robot2,robot3,1.8283601655687263
19.85000000000001,robot2,robot4,1.1352316039563248
19.85000000000001,robot3,robot4,1.7600645361691287
19.90000000000001,robot1,robot2,1.7224825338983845
19.90000000000001,robot1,robot3,1.8426911063919529
19.90000000000001,robot1,robot4,2.6090583096443054
19.90000000000001,robot2,robot3,1.828144759626272
19.90000000000001,robot2,robot4,1.1345192304253815
19.90000000000001,robot3,robot4,1.7602168774432316
19.950000000000006,robot1,robot2,1.7222835189004888
19.950000000000006,robot1,robot3,1.8427372999194704
19.950000000000006,robot1,robot4,2.6089016911563094
19.950000000000006,robot2,robot3,1.828275769590094
19.950000000000006,robot2,robot4,1.1345498004816712
19.950000000000006,robot3,robot4,1.7602902555445936
20.000000000000007,robot1,robot2,1.7220845058201995
20.000000000000007,robot1,robot3,1.8427835421150254
20.000000000000007,robot1,robot4,2.6087450824197065
20.000000000000007,robot2,robot3,1.8284067797839734
20.000000000000007,robot2,robot4,1.1345803712390763
20.000000000000007,robot3,robot4,1.7603636355585741
20.050000000000008,robot1,robot2,1.7220746595490568
20.050000000000008,robot1,robot3,1.8427883798364504
20.050000000000008,robot1,robot4,2.6087752779659366
20.050000000000008,robot2,robot3,1.8283464548458122
20.050000000000008,robot2,robot4,1.1346046122981566
20.050000000000008,robot3,robot4,1.7603260807982424
20.10000000000001,robot1,robot2,1.722064813277944
20.10000000000001,robot1,robot3,1.8427932202428463
20.10000000000001,robot1,robot4,2.608805473614696
20.10000000000001,robot2,robot3,1.8282861313878085
20.10000000000001,robot2,robot4,1.1346288545546512
20.10000000000001,robot3,robot4,1.7602885260766201
20.15000000000001,robot1,robot2,1.7232499908417964
20.15000000000001,robot1,robot3,1.8429912840727163
20.15000000000001,robot1,robot4,2.609236775452929
20.15000000000001,robot2,robot3,1.8273852578939804
20.15000000000001,robot2,robot4,1.133061593315319
20.15000000000001,robot3,robot4,1.7603514464219923
20.200000000000006,robot1,robot2,1.7244363674328498
20.200000000000006,robot1,robot3,1.843189411991345
20.200000000000006,robot1,robot4,2.609668086621362
20.200000000000006,robot2,robot3,1.8264853960658973
20.200000000000006,robot2,robot4,1.1314944691800295
20.200000000000006,robot3,robot4,1.7604143668548606
20.250000000000007,robot1,robot2,1.7293259300759365
20.250000000000007,robot1,robot3,1.8439682297312636
20.250000000000007,robot1,robot4,2.6096938915669785
20.250000000000007,robot2,robot3,1.822032605825496
20.250000000000007,robot2,robot4,1.122373447268331
20.250000000000007,robot3,robot4,1.7601930924404998
20.300000000000008,robot1,robot2,1.7342509522145295
20.300000000000008,robot1,robot3,1.8447470761603064
20.300000000000008,robot1,robot4,2.6097196971065686
20.300000000000008,robot2,robot3,1.8176082156804303
20.300000000000008,robot2,robot4,1.1132544916329765
20.300000000000008,robot3,robot4,1.7599721606252754
20.35000000000001,robot1,robot2,1.739977634443904
20.35000000000001,robot1,robot3,1.8439725450713738
20.35000000000001,robot1,robot4,2.6099258587872285
20.35000000000001,robot2,robot3,1.8121673290582183
20.35000000000001,robot2,robot4,1.1032484473817519
20.35000000000001,robot3,robot4,1.7600593282418777
20.40000000000001,robot1,robot2,1.7457450570129087
20.40000000000001,robot1,robot3,1.8431980381527107
20.40000000000001,robot1,robot4,2.6101320305940465
20.40000000000001,robot2,robot3,1.8067764298642477
20.40000000000001,robot2,robot4,1.093244721772758
20.40000000000001,robot3,robot4,1.7601468724367861
20.45000000000001,robot1,robot2,1.75157751992033
20.45000000000001,robot1,robot3,1.843641748952125
20.45000000000001,robot1,robot4,2.6112663299556886
20.45000000000001,robot2,robot3,1.8016600596810697
20.45000000000001,robot2,robot4,1.0841204654421464
20.45000000000001,robot3,robot4,1.7601840802434559
20.500000000000007,robot1,robot2,1.7574526330942757
20.500000000000007,robot1,robot3,1.844085565722209
20.500000000000007,robot1,robot4,2.6124007002579064
20.500000000000007,robot2,robot3,1.7965844744261257
20.500000000000007,robot2,robot4,1.0749990132283829
20.500000000000007,robot3,robot4,1.760221553647438
20.550000000000008,robot1,robot2,1.762303421629914
20.550000000000008,robot1,robot3,1.8434675059769834
20.550000000000008,robot1,robot4,2.6117930204072928
20.550000000000008,robot2,robot3,1.7915511994616558
20.550000000000008,robot2,robot4,1.0651275653588386
20.550000000000008,robot3,robot4,1.7602748984173608
20.60000000000001,robot1,robot2,1.7671907583020012
20.60000000000001,robot1,robot3,1.8428494717510162
20.60000000000001,robot1,robot4,2.6111853837628995
20.60000000000001,robot2,robot3,1.7865598322197322
20.60000000000001,robot2,robot4,1.0552597899271046
20.60000000000001,robot3,robot4,1.7603282452457552
20.65000000000001,robot1,robot2,1.7720162902643566
20.65000000000001,robot1,robot3,1.842827796321322
20.65000000000001,robot1,robot4,2.610776248973952
20.65000000000001,robot2,robot3,1.7813438172408622
20.65000000000001,robot2,robot4,1.0454477041905283
20.65000000000001,robot3,robot4,1.7601433868401177
20.70000000000001,robot1,robot2,1.7768847362856726
20.70000000000001,robot1,robot3,1.8428061923395527
20.70000000000001,robot1,robot4,2.6103671655613887
20.70000000000001,robot2,robot3,1.7761687064521758
20.70000000000001,robot2,robot4,1.035639780619688
20.70000000000001,robot3,robot4,1.7599585287915167
20.750000000000007,robot1,robot2,1.7822592323976056
20.750000000000007,robot1,robot3,1.8427766785881845
20.750000000000007,robot1,robot4,2.6104253233127546
20.750000000000007,robot2,robot3,1.7710118806405555
20.750000000000007,robot2,robot4,1.0258927897923822
20.750000000000007,robot3,robot4,1.7598701606772018
20.800000000000008,robot1,robot2,1.7876737386763282
20.800000000000008,robot1,robot3,1.8427471763020016
20.800000000000008,robot1,robot4,2.610483481217416
20.800000000000008,robot2,robot3,1.7658971740857388
20.800000000000008,robot2,robot4,1.016150521012511
20.800000000000008,robot3,robot4,1.759781794853555
20.85000000000001,robot1,robot2,1.7913576638865292
20.85000000000001,robot1,robot3,1.8424349999742868
20.85000000000001,robot1,robot4,2.6096710612702227
20.85000000000001,robot2,robot3,1.7620052947458038
20.85000000000001,robot2,robot4,1.0079116689949803
20.85000000000001,robot3,robot4,1.7601069712993298
20.90000000000001,robot1,robot2,1.7950703373207977
20.90000000000001,robot1,robot3,1.8421234614704844
20.90000000000001,robot1,robot4,2.608858671170978
20.90000000000001,robot2,robot3,1.7581446258351439
20.90000000000001,robot2,robot4,0.9996764829288515
20.90000000000001,robot3,robot4,1.760432155472059
20.95000000000001,robot1,robot2,1.7970627808517154
20.95000000000001,robot1,robot3,1.8423426771418638
20.95000000000001,robot1,robot4,2.608992594302684
20.95000000000001,robot2,robot3,1.7563845691716402
20.95000000000001,robot2,robot4,0.99604645686396
20.95000000000001,robot3,robot4,1.7607075741613087
21.000000000000007,robot1,robot2,1.7990623273897435
21.000000000000007,robot1,robot3,1.8425619962164095
21.000000000000007,robot1,robot4,2.609126563653247
21.000000000000007,robot2,robot3,1.754631296400471
21.000000000000007,robot2,robot4,0.9924173521598657
21.000000000000007,robot3,robot4,1.760982998598226
21.050000000000008,robot1,robot2,1.8009719944147524
21.050000000000008,robot1,robot3,1.8427151442589413
21.050000000000008,robot1,robot4,2.6089681002385308
21.050000000000008,robot2,robot3,1.7514186294551337
21.050000000000008,robot2,robot4,0.9886813224242172
21.050000000000008,robot3,robot4,1.7593365334366813
21.10000000000001,robot1,robot2,1.8028877293015229
21.10000000000001,robot1,robot3,1.8428694031862378
21.10000000000001,robot1,robot4,2.6088096441626396
21.10000000000001,robot2,robot3,1.7482091886619289
21.10000000000001,robot2,robot4,0.984946090424242
21.10000000000001,robot3,robot4,1.7576900736830712
21.15000000000001,robot1,robot2,1.804823605339453
21.15000000000001,robot1,robot3,1.842860405546226
21.15000000000001,robot1,robot4,2.608661281655832
21.15000000000001,robot2,robot3,1.746965471061892
21.15000000000001,robot2,robot4,0.9812279533218815
21.15000000000001,robot3,robot4,1.7583749197282275
21.20000000000001,robot1,robot2,1.80676535832299
21.20000000000001,robot1,robot3,1.8428518203545288
21.20000000000001,robot1,robot4,2.6085129242303937
21.20000000000001,robot2,robot3,1.7457294370216707
21.20000000000001,robot2,robot4,0.9775106050703483
21.20000000000001,robot3,robot4,1.7590597676193382
21.250000000000007,robot1,robot2,1.808510763082847
21.250000000000007,robot1,robot3,1.842715458856372
21.250000000000007,robot1,robot4,2.608189907316662
21.250000000000007,robot2,robot3,1.7446007840916642
21.250000000000007,robot2,robot4,0.9738113741423433
21.250000000000007,robot3,robot4,1.7598867702997971
21.300000000000008,robot1,robot2,1.8102624530608815
21.300000000000008,robot1,robot3,1.842580001223556
21.300000000000008,robot1,robot4,2.6078669346508074
21.300000000000008,robot2,robot3,1.7434806890943757
21.300000000000008,robot2,robot4,0.970112855276642
21.300000000000008,robot3,robot4,1.7607137772664812
21.35000000000001,robot1,robot2,1.812164784767448
21.35000000000001,robot1,robot3,1.8425091855988804
21.35000000000001,robot1,robot4,2.607609935035913
21.35000000000001,robot2,robot3,1.742483290252879
21.35000000000001,robot2,robot4,0.9663588710568392
21.35000000000001,robot3,robot4,1.7616148463825032
21.40000000000001,robot1,robot2,1.8140731151420004
21.40000000000001,robot1,robot3,1.842439204509066
21.40000000000001,robot1,robot4,2.607352954840023
21.40000000000001,robot2,robot3,1.741494553152837
21.40000000000001,robot2,robot4,0.9626055888576579
21.40000000000001,robot3,robot4,1.7625159155471477
21.45000000000001,robot1,robot2,1.8163031432166004
21.45000000000001,robot1,robot3,1.8423753086013719
21.45000000000001,robot1,robot4,2.6073635558061325
21.45000000000001,robot2,robot3,1.7408557229197654
21.45000000000001,robot2,robot4,0.958867044092401
21.45000000000001,robot3,robot4,1.7638088586947287
21.500000000000007,robot1,robot2,1.8185385206975961
21.500000000000007,robot1,robot3,1.8423123081540762
21.500000000000007,robot1,robot4,2.60737415677248
21.500000000000007,robot2,robot3,1.7402265759518212
21.500000000000007,robot2,robot4,0.9551291886828708
21.500000000000007,robot3,robot4,1.7651018019459954
21.550000000000008,robot1,robot2,1.8208080811769403
21.550000000000008,robot1,robot3,1.8424080985637385
21.550000000000008,robot1,robot4,2.607412081052111
21.550000000000008,robot2,robot3,1.7395380316270754
21.550000000000008,robot2,robot4,0.9513893577060072
21.550000000000008,robot3,robot4,1.7662337458194062
21.60000000000001,robot1,robot2,1.8230828369868444
21.60000000000001,robot1,robot3,1.8425045087448226
21.60000000000001,robot1,robot4,2.607450006671844
21.60000000000001,robot2,robot3,1.7388581223391977
21.60000000000001,robot2,robot4,0.9476502697962993
21.60000000000001,robot3,robot4,1.7673657037953407
21.65000000000001,robot1,robot2,1.8255661592997667
21.65000000000001,robot1,robot3,1.842941351229401
21.65000000000001,robot1,robot4,2.6074652063472006
21.65000000000001,robot2,robot3,1.7382365006561247
21.65000000000001,robot2,robot4,0.9436502672405963
21.65000000000001,robot3,robot4,1.7683650901017303
21.70000000000001,robot1,robot2,1.8280552469140539
21.70000000000001,robot1,robot3,1.843378745459001
21.70000000000001,robot1,robot4,2.6074804060226415
21.70000000000001,robot2,robot3,1.7376232480604072
21.70000000000001,robot2,robot4,0.9396509105758364
21.70000000000001,robot3,robot4,1.7693646004015116
21.750000000000007,robot1,robot2,1.8307095812247915
21.750000000000007,robot1,robot3,1.8441021196241414
21.750000000000007,robot1,robot4,2.6075427660378363
21.750000000000007,robot2,robot3,1.7368677611033028
21.750000000000007,robot2,robot4,0.9353604594251347
21.750000000000007,robot3,robot4,1.7703003008551967
21.800000000000008,robot1,robot2,1.8333709115116343
21.800000000000008,robot1,robot3,1.8448259753713898
21.800000000000008,robot1,robot4,2.6076051263780333
21.800000000000008,robot2,robot3,1.7361207478674976
21.800000000000008,robot2,robot4,0.931070947957243
21.800000000000008,robot3,robot4,1.77123627537435
21.85000000000001,robot1,robot2,1.8359451662648458
21.85000000000001,robot1,robot3,1.8455526129607498
21.85000000000001,robot1,robot4,2.6075316268299606
21.85000000000001,robot2,robot3,1.7352541647155035
21.85000000000001,robot2,robot4,0.9267842232792101
21.85000000000001,robot3,robot4,1.7719009053288648
21.90000000000001,robot1,robot2,1.8385259637274647
21.90000000000001,robot1,robot3,1.8462795485586685
21.90000000000001,robot1,robot4,2.6074581272935142
21.90000000000001,robot2,robot3,1.7343950968894026
21.90000000000001,robot2,robot4,0.9224983688663078
21.90000000000001,robot3,robot4,1.7725659063529908
21.95000000000001,robot1,robot2,1.8412181816239224
21.95000000000001,robot1,robot3,1.8472586122907915
21.95000000000001,robot1,robot4,2.6075379969045516
21.95000000000001,robot2,robot3,1.7335166808095614
21.95000000000001,robot2,robot4,0.9182097223023171
21.95000000000001,robot3,robot4,1.7732019778622232
22.000000000000007,robot1,robot2,1.843917014731954
22.000000000000007,robot1,robot3,1.8482378421372074
22.000000000000007,robot1,robot4,2.607617869518653
22.000000000000007,robot2,robot3,1.7326449839669982
22.000000000000007,robot2,robot4,0.913922183591688
22.000000000000007,robot3,robot4,1.7738386189157684
22.050000000000008,robot1,robot2,1.8464884237333445
22.050000000000008,robot1,robot3,1.8498621426652992
22.050000000000008,robot1,robot4,2.607623186166715
22.050000000000008,robot2,robot3,1.7321961635455725
22.050000000000008,robot2,robot4,0.9096647303795498
22.050000000000008,robot3,robot4,1.7746103589307995
22.10000000000001,robot1,robot2,1.849066665187873
22.10000000000001,robot1,robot3,1.8514868107348215
22.10000000000001,robot1,robot4,2.607628502815921
22.10000000000001,robot2,robot3,1.7317521637399504
22.10000000000001,robot2,robot4,0.9054084861922816
22.10000000000001,robot3,robot4,1.7753836324200472
22.15000000000001,robot1,robot2,1.8515450013106627
22.15000000000001,robot1,robot3,1.8532253870132747
22.15000000000001,robot1,robot4,2.607558317743344
22.15000000000001,robot2,robot3,1.731194028483809
22.15000000000001,robot2,robot4,0.9011768399443022
22.15000000000001,robot3,robot4,1.7759496890875033
22.20000000000001,robot1,robot2,1.8540301296723853
22.20000000000001,robot1,robot3,1.8549642195452185
