time_s,robot_id,method,vx_cmd,wz_cmd,acc_x,acc_y,latency_ms,fallback,fallback_reason,goal_distance_m
40.600000,robot1,icgp_rvo_mpc,0.100319,-0.898577,0.175673,-0.414294,114.897019,False,,4.360315
40.600000,robot2,icgp_rvo_mpc,0.060558,1.308807,0.148027,0.424957,292.882568,False,,4.194692
40.600000,robot3,icgp_rvo_mpc,0.044364,1.313065,-0.132751,-0.429974,285.894654,False,,4.501290
40.600000,robot4,icgp_rvo_mpc,0.000000,-1.600000,-0.042221,0.448015,259.117773,False,,4.477909
41.700000,robot1,icgp_rvo_mpc,0.124176,1.189263,0.404053,0.198093,292.229759,False,,4.267339
41.700000,robot2,icgp_rvo_mpc,0.099090,-1.475886,0.440374,-0.092577,219.487007,False,,4.114003
41.700000,robot3,icgp_rvo_mpc,0.031004,-1.600000,-0.409611,0.186330,128.428854,False,,4.483263
41.700000,robot4,icgp_rvo_mpc,0.025706,1.600000,-0.442472,-0.081967,232.592404,False,,4.474594
42.100000,robot1,icgp_rvo_mpc,0.111795,0.904936,0.389197,0.225889,124.854813,False,,4.242751
42.100000,robot2,icgp_rvo_mpc,0.063296,-1.600000,0.432699,-0.123578,173.248295,False,,4.100162
42.100000,robot3,icgp_rvo_mpc,0.008379,-1.600000,-0.411976,0.181041,360.979208,False,,4.493062
42.100000,robot4,icgp_rvo_mpc,0.000000,1.600000,-0.442597,-0.081286,247.494815,False,,4.474603
42.100000,robot1,icgp_rvo_mpc,0.111795,0.904936,0.389197,0.225889,232.726332,False,,4.242751
42.100000,robot2,icgp_rvo_mpc,0.063296,-1.600000,0.432699,-0.123578,358.789202,False,,4.100162
42.100000,robot3,icgp_rvo_mpc,0.008379,-1.600000,-0.411976,0.181041,176.112193,False,,4.493062
42.100000,robot4,icgp_rvo_mpc,0.000000,1.600000,-0.442597,-0.081286,374.999331,False,,4.474603
43.100000,robot1,icgp_rvo_mpc,0.120602,0.003530,0.394159,0.217115,201.614931,False,,4.188364
43.100000,robot2,icgp_rvo_mpc,0.077338,-0.094936,0.435444,-0.113528,203.581629,False,,4.077444
43.100000,robot3,icgp_rvo_mpc,0.049074,-0.622328,-0.140594,-0.427473,172.025479,False,,4.497936
43.100000,robot4,icgp_rvo_mpc,0.044671,0.161587,-0.044569,0.447787,204.519760,False,,4.474503
43.500000,robot1,icgp_rvo_mpc,0.110440,-0.918626,0.192012,-0.406978,177.078051,False,,4.144354
43.500000,robot2,icgp_rvo_mpc,0.052261,1.600000,0.107487,0.436974,109.011530,False,,4.046293
43.500000,robot3,icgp_rvo_mpc,0.050154,0.750640,-0.142445,-0.426860,263.884853,False,,4.498147
43.500000,robot4,icgp_rvo_mpc,0.035548,-1.451079,-0.043188,0.447923,340.720104,False,,4.474503
43.500000,robot1,icgp_rvo_mpc,0.110440,-0.918626,0.192012,-0.406978,179.607953,False,,4.144354
43.500000,robot2,icgp_rvo_mpc,0.052261,1.600000,0.107487,0.436974,256.182220,False,,4.046293
43.500000,robot3,icgp_rvo_mpc,0.050154,0.750640,-0.142445,-0.426860,201.859660,False,,4.498147
43.500000,robot4,icgp_rvo_mpc,0.035548,-1.451079,-0.043188,0.447923,186.708152,False,,4.474503
44.400000,robot1,icgp_rvo_mpc,0.130770,0.471867,0.413657,-0.177167,247.882051,False,,4.074129
44.400000,robot2,icgp_rvo_mpc,0.071724,-1.048776,0.441773,-0.085653,308.012629,False,,4.014154
44.400000,robot3,icgp_rvo_mpc,0.029590,-1.600000,-0.414892,0.174253,231.497824,False,,4.491368
44.400000,robot4,icgp_rvo_mpc,0.029789,1.600000,-0.441815,-0.085436,208.340557,False,,4.471154
44.400000,robot1,icgp_rvo_mpc,0.130770,0.471867,0.413657,-0.177167,286.410211,False,,4.074129
44.400000,robot2,icgp_rvo_mpc,0.071724,-1.048776,0.441773,-0.085653,143.225272,False,,4.014154
44.400000,robot3,icgp_rvo_mpc,0.029590,-1.600000,-0.414892,0.174253,266.754674,False,,4.491368
44.400000,robot4,icgp_rvo_mpc,0.029789,1.600000,-0.441815,-0.085436,285.801388,False,,4.471154
45.400000,robot1,icgp_rvo_mpc,0.140778,0.396281,0.366258,0.261449,271.061364,False,,4.010007
45.400000,robot2,icgp_rvo_mpc,0.093802,-0.328407,0.431439,-0.127907,180.712533,False,,3.973517
45.400000,robot3,icgp_rvo_mpc,0.049338,-1.246230,-0.406332,0.193376,202.171600,False,,4.494906
45.400000,robot4,icgp_rvo_mpc,0.025014,1.600000,-0.435958,-0.111538,188.992426,False,,4.471734
45.400000,robot1,icgp_rvo_mpc,0.140778,0.396281,0.366258,0.261449,227.951134,False,,4.010007
45.400000,robot2,icgp_rvo_mpc,0.093802,-0.328407,0.431439,-0.127907,228.431824,False,,3.973517
45.400000,robot3,icgp_rvo_mpc,0.049338,-1.246230,-0.406332,0.193376,205.529109,False,,4.494906
45.400000,robot4,icgp_rvo_mpc,0.025014,1.600000,-0.435958,-0.111538,266.242726,False,,4.471734
46.600000,robot1,icgp_rvo_mpc,0.168582,-0.014597,0.363924,0.264687,261.649332,False,,3.882887
46.600000,robot2,icgp_rvo_mpc,0.126365,0.320377,0.437837,-0.103918,219.684037,False,,3.874937
46.600000,robot3,icgp_rvo_mpc,0.074430,0.780002,-0.414816,0.174435,255.845451,False,,4.455213
46.600000,robot4,icgp_rvo_mpc,0.059922,-0.698584,-0.438189,-0.102422,246.005464,False,,4.452784
46.600000,robot1,icgp_rvo_mpc,0.168582,-0.014597,0.363924,0.264687,232.566663,False,,3.882887
46.600000,robot2,icgp_rvo_mpc,0.126365,0.320377,0.437837,-0.103918,289.653014,False,,3.874937
46.600000,robot3,icgp_rvo_mpc,0.074430,0.780002,-0.414816,0.174435,173.331126,False,,4.455213
46.600000,robot4,icgp_rvo_mpc,0.059922,-0.698584,-0.438189,-0.102422,198.996036,False,,4.452784
47.600000,robot1,icgp_rvo_mpc,0.183886,-0.463195,0.243529,-0.378409,197.285420,False,,3.735695
47.600000,robot2,icgp_rvo_mpc,0.103722,0.723197,0.039729,0.448243,303.158956,False,,3.765254
47.600000,robot3,icgp_rvo_mpc,0.030973,1.600000,-0.164877,-0.418707,329.751321,False,,4.409719
47.600000,robot4,icgp_rvo_mpc,0.000000,-1.600000,-0.030617,0.448957,268.881390,False,,4.430215
47.600000,robot1,icgp_rvo_mpc,0.183886,-0.463195,0.243529,-0.378409,215.116909,False,,3.735695
47.600000,robot2,icgp_rvo_mpc,0.103722,0.723197,0.039729,0.448243,129.598037,False,,3.765254
47.600000,robot3,icgp_rvo_mpc,0.030973,1.600000,-0.164877,-0.418707,237.637420,False,,4.409719
47.600000,robot4,icgp_rvo_mpc,0.000000,-1.600000,-0.030617,0.448957,197.884075,False,,4.430215
48.500000,robot1,icgp_rvo_mpc,0.220585,0.320883,0.448637,-0.034997,145.204003,False,,3.611768
48.500000,robot2,icgp_rvo_mpc,0.120171,0.295091,0.030323,0.448977,261.892143,False,,3.675704
48.500000,robot3,icgp_rvo_mpc,0.062343,0.508677,-0.166289,-0.418148,142.579465,False,,4.363211
48.500000,robot4,icgp_rvo_mpc,0.028832,-1.357386,-0.018174,0.449633,133.954365,False,,4.398053
48.500000,robot1,icgp_rvo_mpc,0.220585,0.320883,0.448637,-0.034997,313.038082,False,,3.611768
48.500000,robot2,icgp_rvo_mpc,0.120171,0.295091,0.030323,0.448977,395.056114,False,,3.675704
48.500000,robot3,icgp_rvo_mpc,0.062343,0.508677,-0.166289,-0.418148,250.430601,False,,4.363211
48.500000,robot4,icgp_rvo_mpc,0.028832,-1.357386,-0.018174,0.449633,272.629860,False,,4.398053
49.200000,robot1,icgp_rvo_mpc,0.230242,0.192842,0.301193,0.334340,186.117711,False,,3.488453
49.200000,robot2,icgp_rvo_mpc,0.138834,-0.732873,0.422198,-0.155721,222.396226,False,,3.602793
49.200000,robot3,icgp_rvo_mpc,0.060933,-1.497701,-0.411953,0.181092,270.368016,False,,4.339700
49.200000,robot4,icgp_rvo_mpc,0.039085,1.571580,-0.441525,-0.086926,235.274846,False,,4.392836
49.200000,robot1,icgp_rvo_mpc,0.230242,0.192842,0.301193,0.334340,263.506725,False,,3.488453
49.200000,robot2,icgp_rvo_mpc,0.138834,-0.732873,0.422198,-0.155721,269.912590,False,,3.602793
