time_s,arrival_time_s,stamp_sec,stamp_nanosec,robot_id,frame_id,x,y,yaw,vx,vy,pose_source,source_topic,sample_age_s,time_basis
1.600000,13.500000,13,500000000,robot1,map,-2.199939,-0.900172,0.287987,-0.000004,0.000003,gazebo_ground_truth,/robot1/ground_truth_pose,0.000000,header_stamp
1.600000,13.500000,13,500000000,robot2,map,-2.199949,0.299710,-0.158744,0.000000,0.000006,gazebo_ground_truth,/robot2/ground_truth_pose,0.000000,header_stamp
1.600000,13.500000,13,500000000,robot3,map,2.200000,-0.700000,2.833540,-0.000000,-0.000000,gazebo_ground_truth,/robot3/ground_truth_pose,0.000000,header_stamp
1.600000,13.500000,13,500000000,robot4,map,2.200000,0.700000,-2.961740,0.000000,-0.000000,gazebo_ground_truth,/robot4/ground_truth_pose,0.000000,header_stamp
1.700000,13.600000,13,600000000,robot1,map,-2.199939,-0.900171,0.287999,-0.000001,0.000005,gazebo_ground_truth,/robot1/ground_truth_pose,0.000000,header_stamp
1.700000,13.600000,13,600000000,robot2,map,-2.199948,0.299710,-0.158756,0.000003,0.000002,gazebo_ground_truth,/robot2/ground_truth_pose,0.000000,header_stamp
1.700000,13.600000,13,600000000,robot3,map,2.200000,-0.700000,2.833540,-0.000000,-0.000000,gazebo_ground_truth,/robot3/ground_truth_pose,0.000000,header_stamp
1.700000,13.600000,13,600000000,robot4,map,2.200000,0.700000,-2.961740,0.000000,-0.000000,gazebo_ground_truth,/robot4/ground_truth_pose,0.000000,header_stamp
1.800000,13.700000,13,700000000,robot1,map,-2.199939,-0.900171,0.288011,-0.000003,0.000001,gazebo_ground_truth,/robot1/ground_truth_pose,0.000000,header_stamp
1.800000,13.700000,13,700000000,robot2,map,-2.199948,0.299710,-0.158768,0.000003,0.000003,gazebo_ground_truth,/robot2/ground_truth_pose,0.000000,header_stamp
1.800000,13.700000,13,700000000,robot3,map,2.200000,-0.700000,2.833540,-0.000000,-0.000000,gazebo_ground_truth,/robot3/ground_truth_pose,0.000000,header_stamp
1.800000,13.700000,13,700000000,robot4,map,2.200000,0.700000,-2.961740,0.000000,-0.000000,gazebo_ground_truth,/robot4/ground_truth_pose,0.000000,header_stamp
1.900000,13.800000,13,800000000,robot1,map,-2.200064,-0.899802,0.288303,-0.001244,0.003695,gazebo_ground_truth,/robot1/ground_truth_pose,0.000000,header_stamp
1.900000,13.800000,13,800000000,robot2,map,-2.199948,0.299711,-0.158781,0.000000,0.000006,gazebo_ground_truth,/robot2/ground_truth_pose,0.000000,header_stamp
1.900000,13.800000,13,800000000,robot3,map,2.200000,-0.700000,2.833540,-0.000000,-0.000000,gazebo_ground_truth,/robot3/ground_truth_pose,0.000000,header_stamp
1.900000,13.800000,13,800000000,robot4,map,2.200000,0.700000,-2.961740,0.000000,-0.000000,gazebo_ground_truth,/robot4/ground_truth_pose,0.000000,header_stamp
2.000000,13.900000,13,900000000,robot1,map,-2.200014,-0.899951,0.288256,0.000502,-0.001496,gazebo_ground_truth,/robot1/ground_truth_pose,0.000000,header_stamp
2.000000,13.900000,13,900000000,robot2,map,-2.199948,0.299711,-0.158792,0.000003,0.000002,gazebo_ground_truth,/robot2/ground_truth_pose,0.000000,header_stamp
2.000000,13.900000,13,900000000,robot3,map,2.200000,-0.700000,2.833540,-0.000000,-0.000000,gazebo_ground_truth,/robot3/ground_truth_pose,0.000000,header_stamp
2.000000,13.900000,13,900000000,robot4,map,2.200000,0.700000,-2.961740,0.000000,-0.000000,gazebo_ground_truth,/robot4/ground_truth_pose,0.000000,header_stamp
2.100000,14.000000,14,0,robot1,map,-2.200005,-0.899978,0.288292,0.000083,-0.000263,gazebo_ground_truth,/robot1/ground_truth_pose,0.000000,header_stamp
2.100000,14.000000,14,0,robot2,map,-2.199948,0.299711,-0.158804,0.000003,0.000003,gazebo_ground_truth,/robot2/ground_truth_pose,0.000000,header_stamp
