time_s,robot_id,x,y,yaw,vx,vy
61.95,robot2,-0.6605374999999998,1.647938,0.2930199999999956,0.0660540000000001,0.024499999999999713
61.95,robot3,0.2744955000000001,0.03453849999999994,5.841243807179591,0.03564500000000011,-0.02021449999999982
61.95,robot4,-1.4082014999999997,-0.1077,-6.268063807179586,0.08761750000000001,0.0014464999999999984
62.0,robot1,2.11165,0.738071,3.105031,-0.158273,0.008441
62.0,robot2,-0.65716,1.648961,0.231014,0.067547,0.020459
62.0,robot3,0.276351,0.033655,5.913970307179587,0.037111,-0.017661
62.0,robot4,-1.403812,-0.107629,-6.268677307179586,0.087784,0.001424
62.050000000000004,robot1,2.1040144999999995,0.7385805000000001,3.1206975000000012,-0.1554899999999998,0.009315500000000062
62.050000000000004,robot2,-0.6536954999999998,1.6495505,0.1690389999999956,0.06841950000000006,0.01612149999999969
62.050000000000004,robot3,0.27831550000000016,0.033058499999999956,5.9867103071795915,0.038201500000000076,-0.014795499999999795
62.050000000000004,robot4,-1.3994469999999997,-0.1075755,-6.269250807179587,0.08754549999999998,0.0012444999999999872
62.1,robot1,2.096379,0.73909,3.136364,-0.152707,0.01019
62.1,robot2,-0.650231,1.65014,0.107064,0.069292,0.011784
62.1,robot3,0.28028,0.032462,6.059450307179587,0.039292,-0.01193
62.1,robot4,-1.395082,-0.107522,-6.2698243071795865,0.087307,0.001065
62.150000000000006,robot1,2.0910425,0.7388089999999999,3.147729653589794,-0.12972049999999838,0.0022829999999994383
62.150000000000006,robot2,-0.6467274999999998,1.6503065000000001,0.056657999999996426,0.06967800000000003,0.007559499999999699
62.150000000000006,robot3,0.28235400000000016,0.03214449999999998,6.1206978071795906,0.04038550000000008,-0.009144499999999802
62.150000000000006,robot4,-1.3907089999999998,-0.1074635,-6.270376807179587,0.0873825,0.0011185000000000038
62.2,robot1,2.085706,0.738528,3.1590953071795864,-0.106734,-0.005624
62.2,robot2,-0.643224,1.650473,0.006252,0.070064,0.003335
62.2,robot3,0.284428,0.031827,6.1819453071795865,0.041479,-0.006359
62.2,robot4,-1.386336,-0.107405,-6.270929307179586,0.087458,0.001172
62.25,robot1,2.07858,0.7383605,3.1729278071795863,-0.124626,-0.004487
62.25,robot2,-0.6391995,1.6504064999999999,-0.010023999999999998,0.0752785,0.001
62.25,robot3,0.28738850000000005,0.031643500000000005,6.219671307179587,0.050345,-0.0050105
62.25,robot4,-1.3827995,-0.1073565,-6.270959807179587,0.079095,0.0010735
62.300000000000004,robot1,2.0714539999999992,0.738193,3.186760307179588,-0.14251799999999992,-0.0033500000000002907
62.300000000000004,robot2,-0.6351749999999995,1.65034,-0.0263000000000022,0.08049300000000033,-0.0013350000000001572
62.300000000000004,robot3,0.29034900000000047,0.03146000000000001,6.257397307179591,0.05921100000000009,-0.0036619999999996924
62.300000000000004,robot4,-1.3792629999999995,-0.107308,-6.270990307179586,0.0707319999999994,0.0009749999999999813
62.35,robot1,2.0643884999999993,0.737821,3.200679807179587,-0.14191249999999994,-0.005393500000000146
62.35,robot2,-0.6309139999999998,1.6501625,-0.0417875000000011,0.08285600000000017,-0.0024420000000000787
62.35,robot3,0.29337200000000024,0.0314935,6.295439307179589,0.059838500000000044,-0.0014984999999998463
62.35,robot4,-1.3761509999999997,-0.10727249999999999,-6.270847807179586,0.0664859999999997,0.0008434999999999906
62.400000000000006,robot1,2.057322999999999,0.7374489999999999,3.214599307179588,-0.14130699999999977,-0.00743700000000036
62.400000000000006,robot2,-0.6266529999999995,1.649985,-0.0572750000000022,0.08521899999999996,-0.0035490000000001714
62.400000000000006,robot3,0.29639500000000046,0.031527000000000034,6.333481307179592,0.06046599999999998,0.0006650000000003336
62.400000000000006,robot4,-1.3730389999999995,-0.107237,-6.270705307179586,0.062240000000000045,0.0007120000000000039
62.45,robot1,2.0504059999999993,0.736824,3.2281693071795874,-0.1398259999999999,-0.00997000000000018
62.45,robot2,-0.6224184999999997,1.649687,-0.07274000000000111,0.08495349999999999,-0.004754500000000086
62.45,robot3,0.2994060000000002,0.03179500000000002,6.37155930717959,0.06034249999999999,0.003012500000000167
62.45,robot4,-1.3698914999999996,-0.1071985,-6.270555807179586,0.06259150000000002,0.000739500000000002
62.5,robot1,2.043489,0.736199,3.241739307179586,-0.138345,-0.012503
62.5,robot2,-0.618184,1.649389,-0.088205,0.084688,-0.00596
62.5,robot3,0.302417,0.032063,6.409637307179587,0.060219,0.00536
62.5,robot4,-1.366744,-0.10716,-6.270406307179586,0.062943,0.000767
62.550000000000004,robot1,2.0365609999999994,0.7354139999999999,3.2553138071795873,-0.1384485,-0.014103000000000115
62.550000000000004,robot2,-0.6139789999999997,1.648944,-0.1036460000000011,0.08439499999999997,-0.007428000000000104
62.550000000000004,robot3,0.3054010000000002,0.032555000000000035,6.44769780717959,0.05994999999999998,0.007600000000000159
62.550000000000004,robot4,-1.363619,-0.107116,-6.270221307179586,0.06272099999999999,0.0008220000000000039
62.6,robot1,2.029633,0.734629,3.2688883071795862,-0.138552,-0.015703
62.6,robot2,-0.609774,1.648499,-0.119087,0.084102,-0.008896
62.6,robot3,0.308385,0.033047,6.485758307179586,0.059681,0.00984
62.6,robot4,-1.360494,-0.107072,-6.270036307179586,0.062499,0.000877
62.650000000000006,robot1,2.0227444999999995,0.7336439999999999,3.282527807179587,-0.13816199999999998,-0.017697500000000144
62.650000000000006,robot2,-0.6055829999999998,1.6479234999999999,-0.1345165000000011,0.083961,-0.010204500000000094
62.650000000000006,robot3,0.3112990000000002,0.03377400000000005,6.523774307179589,0.05897749999999995,0.012192000000000168
62.650000000000006,robot4,-1.3573619999999997,-0.1070325,-6.2698838071795855,0.062574,0.000835499999999997
62.7,robot1,2.015856,0.732659,3.2961673071795863,-0.137772,-0.019692
62.7,robot2,-0.601392,1.647348,-0.149946,0.08382,-0.011513
62.7,robot3,0.314213,0.034501,6.561790307179586,0.058274,0.014544
62.7,robot4,-1.35423,-0.106993,-6.269731307179586,0.062649,0.000794
62.75,robot1,2.0096485,0.7316045,3.314531807179586,-0.130963,-0.0203955
62.75,robot2,-0.5971985,1.6466604999999999,-0.16544799999999998,0.0838475,-0.012632
62.75,robot3,0.31707450000000004,0.035435999999999995,6.599833807179586,0.0577535,0.016619
62.75,robot4,-1.3510805000000001,-0.1069515,-6.269581307179586,0.062818,0.0008135
62.800000000000004,robot1,2.003440999999999,0.7305499999999998,3.3328963071795887,-0.1241539999999994,-0.021099000000000284
62.800000000000004,robot2,-0.5930049999999993,1.6459729999999997,-0.18095000000000175,0.0838750000000012,-0.013751000000000452
62.800000000000004,robot3,0.3199360000000004,0.03637100000000016,6.637877307179589,0.05723299999999992,0.01869400000000026
62.800000000000004,robot4,-1.3479309999999995,-0.10691,-6.269431307179587,0.06298699999999996,0.0008330000000000076
62.85,robot1,1.9976524999999996,0.7292939999999999,3.352956307179588,-0.11996349999999971,-0.023106500000000144
62.85,robot2,-0.5879699999999997,1.6449669999999998,-0.19318450000000087,0.0922860000000006,-0.016933500000000226
62.85,robot3,0.3227440000000002,0.03748850000000008,6.655402807179588,0.05669399999999996,0.02052450000000013
62.85,robot4,-1.3448059999999997,-0.106863,-6.269244307179586,0.06274199999999998,0.0008865000000000038
62.900000000000006,robot1,1.9918639999999992,0.7280379999999997,3.373016307179589,-0.11577299999999993,-0.025114000000000303
62.900000000000006,robot2,-0.5829349999999992,1.6439609999999998,-0.2054190000000016,0.10069700000000041,-0.020116000000000245
62.900000000000006,robot3,0.32555200000000056,0.03860600000000023,6.672928307179585,0.05615500000000172,0.02235500000000069
62.900000000000006,robot4,-1.3416809999999997,-0.10681600000000001,-6.269057307179586,0.06249699999999845,0.0009399999999997474
62.95,robot1,1.9861194999999996,0.7265699999999999,3.392936807179588,-0.11533099999999998,-0.02723800000000015
62.95,robot2,-0.5776034999999996,1.642781,-0.2168235000000008,0.10366100000000021,-0.021861000000000123
62.95,robot3,0.32957250000000027,0.04020850000000011,6.659734307179585,0.06828550000000086,0.027201500000000343
62.95,robot4,-1.3396444999999997,-0.10694650000000001,-6.267034807179586,0.05161399999999923,-0.0008375000000001262
63.0,robot1,1.980375,0.725102,3.412857307179586,-0.114889,-0.029362
63.0,robot2,-0.572272,1.641601,-0.228228,0.106625,-0.023606
63.0,robot3,0.333593,0.041811,6.6465403071795865,0.080416,0.032048
63.0,robot4,-1.337608,-0.107077,-6.265012307179586,0.040731,-0.002615
63.050000000000004,robot1,1.9746974999999996,0.7233989999999999,3.4328003071795874,-0.11421849999999996,-0.03171150000000017
63.050000000000004,robot2,-0.5669754999999996,1.6403065,-0.2396390000000008,0.10627749999999997,-0.02474500000000008
63.050000000000004,robot3,0.3378650000000003,0.043390500000000116,6.632943307179585,0.08292550000000018,0.031818499999999986
63.050000000000004,robot4,-1.3361444999999998,-0.1071695,-6.261474807179586,0.035000499999999594,-0.002234499999999973
63.1,robot1,1.96902,0.721696,3.452743307179586,-0.113548,-0.034061
63.1,robot2,-0.561679,1.639012,-0.25105,0.10593,-0.025884
63.1,robot3,0.342137,0.04497,6.619346307179586,0.085435,0.031589
63.1,robot4,-1.334681,-0.107262,-6.257937307179586,0.02927,-0.001854
