time_s,robot_i,robot_j,distance_m,collision,safety_violation,all_pose_fresh
21.000000,robot1,robot4,4.681883,0,0,True
21.000000,robot2,robot3,4.512085,0,0,True
21.000000,robot2,robot4,4.418043,0,0,True
21.000000,robot3,robot4,1.400000,0,0,True
21.100000,robot1,robot2,1.199700,0,0,True
21.100000,robot1,robot3,4.404620,0,0,True
21.100000,robot1,robot4,4.681883,0,0,True
21.100000,robot2,robot3,4.512085,0,0,True
21.100000,robot2,robot4,4.418043,0,0,True
21.100000,robot3,robot4,1.400000,0,0,True
21.200000,robot1,robot2,1.199700,0,0,True
21.200000,robot1,robot3,4.404621,0,0,True
21.200000,robot1,robot4,4.681883,0,0,True
21.200000,robot2,robot3,4.512085,0,0,True
21.200000,robot2,robot4,4.418043,0,0,True
21.200000,robot3,robot4,1.400000,0,0,True
21.300000,robot1,robot2,1.199700,0,0,True
21.300000,robot1,robot3,4.404621,0,0,True
21.300000,robot1,robot4,4.681884,0,0,True
21.300000,robot2,robot3,4.512085,0,0,True
21.300000,robot2,robot4,4.418043,0,0,True
21.300000,robot3,robot4,1.400000,0,0,True
21.400000,robot1,robot2,1.199700,0,0,True
21.400000,robot1,robot3,4.404621,0,0,True
21.400000,robot1,robot4,4.681884,0,0,True
21.400000,robot2,robot3,4.512085,0,0,True
21.400000,robot2,robot4,4.418042,0,0,True
21.400000,robot3,robot4,1.400000,0,0,True
21.500000,robot1,robot2,1.199700,0,0,True
21.500000,robot1,robot3,4.404622,0,0,True
21.500000,robot1,robot4,4.681884,0,0,True
21.500000,robot2,robot3,4.512085,0,0,True
21.500000,robot2,robot4,4.418042,0,0,True
21.500000,robot3,robot4,1.400000,0,0,True
21.600000,robot1,robot2,1.199700,0,0,True
21.600000,robot1,robot3,4.404622,0,0,True
21.600000,robot1,robot4,4.681885,0,0,True
21.600000,robot2,robot3,4.512084,0,0,True
21.600000,robot2,robot4,4.418042,0,0,True
21.600000,robot3,robot4,1.400000,0,0,True
21.700000,robot1,robot2,1.199700,0,0,True
21.700000,robot1,robot3,4.404623,0,0,True
