noise_level,scenario,robots,seed,primary,baseline,comparison,metric,direction,primary_value,baseline_value,delta,signed_improvement
high,corridor,4,13970,icgp_rvo_mpc,passive_rvo_mpc,icgp_rvo_mpc_vs_passive_rvo_mpc,final_goal_distance,lower,0.1495388448238372,0.1430688649415969,0.006469979882240295,-0.006469979882240295
high,corridor,4,13970,icgp_rvo_mpc,passive_rvo_mpc,icgp_rvo_mpc_vs_passive_rvo_mpc,completion_time,lower,11.52,11.88,-0.3600000000000012,0.3600000000000012
high,corridor,4,13970,icgp_rvo_mpc,passive_rvo_mpc,icgp_rvo_mpc_vs_passive_rvo_mpc,min_distance,higher,0.576661229133606,0.5307126045227051,0.04594862461090088,0.04594862461090088
high,corridor,4,13987,icgp_rvo_mpc,passive_rvo_mpc,icgp_rvo_mpc_vs_passive_rvo_mpc,collision,lower,0.0,0.0,0.0,-0.0
high,corridor,4,13987,icgp_rvo_mpc,passive_rvo_mpc,icgp_rvo_mpc_vs_passive_rvo_mpc,safety_violation,lower,0.0,0.0,0.0,-0.0
high,corridor,4,13987,icgp_rvo_mpc,passive_rvo_mpc,icgp_rvo_mpc_vs_passive_rvo_mpc,success,higher,1.0,1.0,0.0,0.0
high,corridor,4,13987,icgp_rvo_mpc,passive_rvo_mpc,icgp_rvo_mpc_vs_passive_rvo_mpc,progress_ratio,higher,0.9877094142138958,0.9876514123752712,5.800183862458841e-05,5.800183862458841e-05
high,corridor,4,13987,icgp_rvo_mpc,passive_rvo_mpc,icgp_rvo_mpc_vs_passive_rvo_mpc,final_goal_distance,lower,0.1257206797599792,0.1263139843940735,-0.0005933046340942938,0.0005933046340942938
high,corridor,4,13987,icgp_rvo_mpc,passive_rvo_mpc,icgp_rvo_mpc_vs_passive_rvo_mpc,completion_time,lower,10.68,10.8,-0.120000000000001,0.120000000000001
high,corridor,4,13987,icgp_rvo_mpc,passive_rvo_mpc,icgp_rvo_mpc_vs_passive_rvo_mpc,min_distance,higher,0.6298486590385437,0.6107165217399597,0.019132137298583984,0.019132137298583984
high,corridor,4,14004,icgp_rvo_mpc,passive_rvo_mpc,icgp_rvo_mpc_vs_passive_rvo_mpc,collision,lower,0.0,0.0,0.0,-0.0
high,corridor,4,14004,icgp_rvo_mpc,passive_rvo_mpc,icgp_rvo_mpc_vs_passive_rvo_mpc,safety_violation,lower,1.0,0.0,1.0,-1.0
high,corridor,4,14004,icgp_rvo_mpc,passive_rvo_mpc,icgp_rvo_mpc_vs_passive_rvo_mpc,success,higher,1.0,1.0,0.0,0.0
high,corridor,4,14004,icgp_rvo_mpc,passive_rvo_mpc,icgp_rvo_mpc_vs_passive_rvo_mpc,progress_ratio,higher,0.9884687708690764,0.9851376321166754,0.003331138752400986,0.003331138752400986
high,corridor,4,14004,icgp_rvo_mpc,passive_rvo_mpc,icgp_rvo_mpc_vs_passive_rvo_mpc,final_goal_distance,lower,0.1177315041422844,0.1517417579889297,-0.0340102538466453,0.0340102538466453
high,corridor,4,14004,icgp_rvo_mpc,passive_rvo_mpc,icgp_rvo_mpc_vs_passive_rvo_mpc,completion_time,lower,12.72,12.6,0.120000000000001,-0.120000000000001
high,corridor,4,14004,icgp_rvo_mpc,passive_rvo_mpc,icgp_rvo_mpc_vs_passive_rvo_mpc,min_distance,higher,0.4860326647758484,0.5550605654716492,-0.06902790069580078,-0.06902790069580078
